x,y,speed,distance,direction,role,result
94.58,16.55,1.67,0.17,232.24,3,2
97.6,23.49,0.58,0.21,200.38,3,2
97.34,13.68,2.75,0.26,145.6,3,2
94.84,22.09,2.6,0.3,190.9,3,2
95.2,20.02,2.26,0.43,182.28,3,2
98.18,19.63,2.22,0.33,200.88,3,2
100.47,32.86,3.41,0.33,192.56,3,2
95.27,24.51,2.5,0.4,183.74,3,2
107.8,24.42,1.88,0.17,262.84,3,2
96.23,17.19,1.88,0.24,207.21,3,2
94.41,28.59,3.55,0.42,213.47,3,2
95.16,13.7,3.53,0.65,139.41,0,2
92.37,23.89,1.62,0.17,248.26,1,2
94.15,20.76,2.98,0.34,166.27,0,2
93.86,21.74,3.26,0.4,183.2,0,2
96.35,32.01,4.2,0.46,143.0,2,2
94.31,24.37,3.77,0.41,157.25,0,2
94.15,18.1,2.27,0.22,168.9,0,2
94.05,17.5,1.56,0.31,201.75,0,2
94.87,23.76,3.17,0.4,156.46,0,2
94.5,19.03,3.03,0.48,167.44,0,2
88.73,22.53,3.77,0.5,145.0,0,2
99.56,16.65,3.4,0.35,156.12,3,1
100.7,29.18,1.18,0.23,215.17,3,1
104.64,43.78,2.99,0.36,97.63,3,1
91.68,22.73,1.78,0.17,356.13,3,1
91.24,19.14,0.51,0.08,346.7,3,1
98.36,19.18,1.32,0.18,159.39,3,1
101.91,35.12,1.13,0.06,1.42,3,1
89.29,28.95,2.3,0.25,272.22,3,1
107.82,35.21,0.24,0.14,242.56,3,1
108.57,18.38,2.16,0.26,104.69,3,1
90.94,24.88,2.73,0.29,265.37,3,1
99.87,41.45,3.36,0.35,151.23,2,1
87.84,25.31,1.08,0.12,309.42,1,1
90.72,22.17,1.33,0.16,300.89,0,1
90.87,23.23,0.71,0.1,328.08,0,1
89.23,27.91,2.37,0.25,274.95,0,1
104.19,19.84,6.03,0.71,114.79,0,1
103.95,35.18,6.14,0.61,61.37,0,1
98.39,31.79,4.9,0.55,167.94,0,1
90.37,25.16,2.16,0.29,256.89,0,1
90.49,19.57,1.16,0.1,248.41,0,1
88.73,16.13,5.54,0.61,166.7,0,1
86.21,33.34,0.78,0.09,350.38,3,2
91.2,28.54,1.04,0.12,291.4,3,2
87.42,27.69,1.77,0.2,358.15,3,2
61.07,8.88,3.2,0.31,337.86,3,2
77.33,50.0,3.28,0.38,345.49,2,2
72.2,12.25,1.19,0.15,345.0,3,2
92.77,43.54,3.99,0.42,347.79,3,2
89.9,36.58,3.04,0.32,5.63,3,2
83.52,54.2,1.54,0.2,9.51,3,2
96.19,49.59,6.36,0.68,341.25,1,2
90.13,43.34,4.1,0.44,312.12,3,2
92.41,47.18,7.14,0.75,9.29,0,2
78.27,42.65,6.4,0.68,2.61,0,2
81.92,53.37,1.32,0.11,292.9,0,2
76.38,48.9,2.49,0.36,354.65,0,2
65.53,46.89,5.24,0.56,46.27,0,2
67.93,11.57,2.12,0.24,335.82,0,2
81.6,50.61,1.64,0.11,319.05,0,2
96.45,41.51,6.39,0.67,339.34,0,2
89.88,34.37,5.23,0.56,341.08,0,2
60.28,9.42,3.24,0.34,339.92,0,2
91.04,41.12,5.69,0.61,323.93,0,2
78.14,20.49,0.39,0.05,209.68,3,0
83.03,21.23,2.01,0.26,80.53,3,0
76.11,20.69,1.16,0.12,275.03,3,0
57.08,16.74,4.12,0.41,321.48,3,0
55.46,5.41,7.04,0.73,259.21,3,0
60.82,49.96,7.13,0.75,294.87,2,0
82.44,22.36,2.15,0.24,96.23,3,0
83.89,24.97,3.35,0.37,77.22,3,0
69.92,26.69,3.76,0.41,333.97,3,0
81.88,31.18,5.23,0.55,358.48,1,0
53.65,35.49,7.03,0.76,284.06,3,0
76.09,19.36,2.36,0.31,278.37,0,0
66.68,24.76,5.44,0.6,13.36,0,0
83.38,21.76,3.16,0.37,27.49,0,0
65.17,33.96,4.33,0.46,2.58,0,0
56.76,5.5,6.88,0.72,266.47,0,0
48.3,23.04,4.86,0.5,320.69,0,0
54.05,35.97,7.11,0.75,283.26,0,0
84.95,28.38,4.87,0.53,20.9,0,0
59.31,13.6,5.29,0.57,315.81,0,0
79.18,29.59,4.62,0.53,6.4,0,0
61.26,48.13,6.13,0.61,301.9,0,0
43.96,37.81,2.96,0.36,7.05,3,1
45.69,34.57,2.49,0.28,36.59,3,1
41.76,38.26,0.79,0.08,353.73,3,1
40.34,19.71,6.39,0.66,191.22,3,1
28.72,22.62,8.0,0.83,260.69,3,1
28.54,35.41,8.05,0.83,248.83,2,1
44.75,39.58,3.27,0.4,39.52,3,1
44.66,41.45,2.09,0.23,10.98,3,1
45.26,42.36,5.64,0.62,338.9,3,1
52.2,27.64,4.48,0.5,162.02,1,1
33.38,30.16,6.86,0.74,211.04,3,1
47.3,34.77,3.06,0.37,92.35,0,1
43.33,38.93,2.87,0.3,357.41,0,1
41.67,30.8,2.44,0.29,177.34,0,1
38.52,38.57,2.6,0.31,316.74,0,1
29.15,20.83,7.64,0.79,262.78,0,1
24.61,26.26,4.16,0.48,222.43,0,1
30.84,27.03,4.91,0.47,193.8,0,1
43.64,40.17,1.02,0.1,6.72,0,1
40.68,25.35,4.29,0.47,218.17,0,1
44.19,40.2,2.76,0.36,38.35,0,1
28.06,38.49,5.37,0.53,243.62,0,1
18.91,27.19,2.35,0.2,22.45,3,1
19.51,24.0,1.38,0.19,61.78,3,1
19.34,27.81,1.94,0.2,48.22,3,1
16.81,15.73,5.75,0.64,200.99,3,1
14.37,23.07,3.71,0.45,316.23,3,1
19.91,29.07,1.72,0.22,79.88,3,1
20.04,30.17,1.94,0.23,77.33,3,1
18.66,35.77,6.61,0.7,336.0,2,1
23.15,27.03,1.01,0.1,77.99,1,1
13.98,34.04,3.18,0.42,263.95,3,1
13.7,17.94,4.38,0.54,278.13,3,1
17.81,28.2,2.9,0.29,33.34,0,1
11.53,27.13,2.72,0.26,352.3,0,1
18.36,23.89,1.94,0.22,54.47,0,1
12.92,33.77,5.55,0.58,339.82,0,1
10.57,14.9,2.22,0.25,280.54,0,1
7.48,30.25,5.16,0.5,0.66,0,1
13.7,14.8,4.35,0.52,194.58,0,1
13.4,34.76,2.72,0.34,264.47,0,1
18.87,28.7,2.57,0.25,63.23,0,1
12.59,23.87,1.2,0.2,340.58,0,1
18.96,30.45,2.43,0.25,59.43,0,1
31.4,34.18,2.44,0.36,34.94,3,2
30.82,14.03,6.22,0.66,178.13,3,2
38.08,38.5,3.23,0.36,48.1,3,2
24.75,24.55,3.07,0.35,255.1,3,2
29.58,20.38,2.93,0.33,195.89,3,2
33.95,7.93,4.0,0.52,114.7,3,2
27.18,22.63,2.4,0.3,263.8,3,2
47.71,13.73,4.14,0.58,154.64,3,2
42.84,30.58,3.12,0.34,71.99,3,2
24.19,19.3,3.57,0.44,295.29,3,2
26.49,27.32,2.48,0.2,280.06,3,2
35.74,33.53,6.19,0.66,82.43,0,2
22.11,22.98,3.37,0.35,264.61,1,2
26.98,21.32,1.41,0.09,256.5,0,2
25.08,23.83,1.88,0.21,263.3,0,2
26.26,26.66,1.24,0.1,267.71,0,2
31.74,38.49,6.4,0.68,49.41,0,2
33.9,7.11,4.49,0.52,111.84,0,2
28.0,12.46,6.35,0.69,151.27,0,2
28.34,24.45,3.13,0.28,163.06,0,2
28.12,19.54,2.44,0.28,155.45,0,2
25.45,19.84,3.23,0.32,133.14,2,2
36.0,18.26,1.56,0.25,266.72,3,1
39.7,33.89,5.14,0.55,14.42,3,1
52.45,21.69,6.8,0.69,28.46,3,1
36.01,26.89,0.87,0.14,322.0,3,1
36.91,28.54,3.22,0.31,322.59,3,1
58.55,35.42,6.84,0.72,93.15,3,1
34.52,27.5,0.85,0.1,216.86,3,1
64.0,29.59,6.0,0.66,34.07,3,1
37.51,22.09,3.76,0.47,296.54,3,1
36.89,26.96,2.24,0.25,185.1,3,1
36.68,25.05,4.06,0.46,280.04,3,1
50.81,27.77,8.46,0.88,29.06,2,1
30.44,24.55,0.3,0.06,242.14,1,1
36.17,25.89,1.03,0.15,290.84,0,1
35.31,26.01,0.91,0.1,321.73,0,1
35.96,27.98,0.17,0.02,150.94,0,1
35.76,19.27,1.15,0.15,253.34,0,1
57.73,33.26,8.82,0.95,100.28,0,1
39.09,34.7,5.42,0.55,16.72,0,1
33.7,27.27,0.67,0.07,288.54,0,1
38.49,24.64,1.83,0.24,276.93,0,1
35.14,28.54,1.21,0.16,30.02,0,1
64.31,19.71,1.11,0.13,189.31,3,1
71.06,21.99,1.87,0.22,57.76,3,1
63.79,20.43,1.14,0.14,182.96,3,1
56.69,8.62,7.13,0.73,233.63,2,1
48.28,12.09,7.98,0.82,296.78,3,1
65.56,20.85,2.49,0.3,149.24,3,1
65.84,24.28,2.05,0.21,105.28,3,1
65.86,25.99,2.62,0.29,258.69,3,1
72.42,23.78,1.1,0.04,81.01,1,1
69.01,27.15,3.6,0.39,86.81,3,1
60.43,21.62,6.95,0.73,186.68,3,1
63.37,19.93,0.92,0.08,188.47,0,1
54.76,18.59,3.56,0.34,206.09,0,1
55.94,27.04,3.11,0.29,260.66,0,1
46.95,10.67,6.3,0.66,302.58,0,1
42.46,21.9,4.02,0.39,254.78,0,1
57.7,10.86,5.15,0.54,234.23,0,1
61.5,32.13,2.5,0.33,325.94,0,1
68.89,27.79,3.01,0.41,89.69,0,1
66.69,21.14,2.78,0.34,96.41,0,1
59.91,33.08,1.67,0.21,270.35,0,1
70.69,20.97,1.77,0.25,40.58,0,1
46.79,22.58,1.64,0.24,115.9,3,2
49.32,21.13,0.73,0.1,37.4,3,2
46.92,28.05,1.69,0.18,37.04,3,2
31.79,41.59,6.89,0.7,329.14,3,2
26.35,13.21,8.12,0.85,272.87,3,2
48.44,26.13,1.64,0.23,109.87,3,2
50.32,26.99,1.57,0.19,70.35,3,2
39.24,23.98,3.01,0.32,296.45,3,2
49.86,23.2,0.11,0.08,256.07,1,2
30.19,34.35,7.61,0.79,278.43,2,2
31.9,4.47,6.82,0.71,233.14,3,2
46.22,21.89,2.09,0.25,124.8,0,2
34.97,22.27,3.08,0.39,12.63,0,2
32.84,30.6,3.47,0.38,309.35,0,2
25.29,9.79,5.85,0.65,268.23,0,2
20.52,20.01,3.99,0.43,301.27,0,2
34.11,8.57,2.77,0.3,263.32,0,2
31.11,34.99,6.24,0.62,275.88,0,2
49.54,26.76,1.95,0.14,117.02,0,2
47.89,28.68,2.05,0.29,40.64,0,2
29.81,41.0,5.64,0.61,339.11,0,2
49.05,20.14,1.08,0.13,330.09,0,2
44.81,22.25,2.82,0.28,327.76,3,1
47.16,19.93,1.64,0.17,56.71,3,1
44.09,25.66,3.2,0.36,340.25,3,1
42.62,6.03,4.28,0.51,279.12,3,1
42.51,13.8,3.24,0.42,256.42,3,1
45.1,25.74,1.0,0.18,16.7,3,1
46.91,28.7,2.74,0.3,55.54,3,1
49.18,23.6,0.72,0.09,88.14,1,1
46.42,34.92,1.62,0.35,38.48,2,1
45.55,31.96,3.88,0.54,7.14,3,1
42.86,42.81,3.33,0.56,275.65,3,1
47.13,29.39,4.08,0.52,89.31,0,1
37.53,29.68,2.11,0.17,5.88,0,1
38.84,13.7,1.38,0.15,219.61,0,1
45.88,19.41,3.58,0.37,28.35,0,1
35.23,6.13,3.23,0.31,278.88,0,1
26.62,31.41,1.65,0.12,8.51,0,1
42.2,35.7,4.01,0.45,78.52,0,1
30.75,20.73,2.26,0.16,32.01,0,1
44.16,26.36,0.35,0.12,124.85,0,1
46.61,20.86,3.22,0.47,56.03,0,1
36.67,43.78,1.28,0.23,283.74,0,1
94.49,22.0,4.12,0.54,37.37,3,2
78.92,21.58,3.7,0.35,231.9,3,2
76.65,6.08,5.0,0.48,240.3,3,2
90.51,21.65,2.61,0.41,91.22,3,2
91.02,23.05,4.05,0.42,124.53,3,2
78.13,28.13,4.01,0.43,231.38,3,2
73.79,42.16,4.83,0.5,236.75,3,2
58.72,23.22,3.67,0.36,201.43,3,2
79.48,35.94,1.44,0.15,283.97,3,2
90.75,20.55,1.05,0.15,30.34,3,2
91.51,27.72,1.99,0.18,176.16,3,2
77.15,5.17,6.66,0.68,250.75,2,2
92.7,23.39,1.31,0.08,99.62,1,2
90.64,24.15,2.94,0.32,121.49,0,2
90.71,22.19,2.68,0.38,94.93,0,2
93.96,21.7,3.5,0.4,58.09,0,2
79.24,34.94,4.67,0.49,281.29,0,2
76.8,26.65,6.16,0.64,236.64,0,2
84.06,36.64,6.16,0.66,194.38,0,2
87.92,14.17,6.07,0.64,226.51,0,2
91.64,21.4,1.86,0.2,95.01,0,2
92.61,26.95,1.57,0.23,118.33,0,2
82.68,29.16,0.97,0.08,125.69,3,1
85.08,19.72,3.63,0.39,73.51,3,1
73.06,34.51,1.94,0.23,260.49,3,1
70.02,35.82,2.68,0.27,290.79,3,1
80.63,22.1,1.2,0.18,22.73,3,1
78.45,20.47,4.94,0.56,150.26,3,1
72.38,17.26,2.09,0.26,215.82,3,1
62.81,13.54,2.56,0.36,264.18,3,1
81.93,26.23,0.99,0.13,100.66,3,1
63.57,31.82,2.86,0.31,299.33,3,1
73.44,5.66,2.99,0.34,245.12,3,1
74.06,14.59,3.0,0.39,228.14,0,1
85.55,23.87,0.95,0.09,89.81,1,1
82.38,26.26,1.53,0.16,94.93,0,1
82.17,24.77,1.23,0.16,57.0,0,1
84.81,20.79,2.95,0.39,75.14,0,1
73.8,6.26,3.7,0.39,235.72,0,1
83.31,19.41,4.83,0.47,176.74,0,1
81.59,21.82,1.3,0.1,59.52,0,1
83.43,28.36,1.1,0.15,88.05,0,1
75.27,31.81,4.19,0.42,239.59,2,1
71.77,33.4,5.05,0.56,292.74,0,1
66.54,29.07,2.86,0.39,83.2,3,1
56.35,18.0,4.24,0.5,169.52,3,1
49.83,40.62,3.47,0.35,154.3,3,1
55.84,27.83,3.33,0.32,331.12,3,1
52.49,35.7,3.24,0.39,320.13,3,1
41.63,28.11,3.43,0.4,333.12,3,1
63.11,23.08,3.65,0.38,35.13,3,1
53.42,16.28,4.11,0.48,265.24,3,1
53.13,14.32,0.87,0.11,51.03,3,1
64.19,19.19,2.69,0.31,31.78,3,1
61.55,23.99,1.49,0.11,14.63,3,1
53.29,35.94,5.32,0.52,312.34,0,1
65.91,23.96,1.39,0.11,70.02,1,1
62.67,24.68,1.18,0.14,78.48,0,1
62.36,23.79,0.9,0.05,18.64,0,1
54.0,42.24,4.8,0.49,202.81,2,1
64.87,19.31,1.66,0.19,29.78,0,1
66.98,15.62,5.37,0.61,187.26,0,1
63.42,22.13,2.61,0.28,34.39,0,1
65.99,27.87,2.48,0.34,88.52,0,1
56.72,15.9,2.19,0.28,272.34,0,1
52.86,15.78,4.89,0.56,268.79,0,1
61.12,24.6,4.26,0.57,183.28,3,2
47.84,25.35,3.84,0.41,181.37,3,2
51.92,12.0,6.62,0.73,174.8,3,2
58.1,23.33,4.89,0.55,178.1,3,2
33.99,7.04,4.16,0.47,231.34,3,2
44.28,23.01,2.74,0.37,191.63,3,2
36.31,27.09,2.92,0.36,167.63,3,2
53.35,25.83,3.61,0.42,199.36,3,2
49.1,45.88,2.54,0.33,221.36,3,2
45.53,40.79,0.83,0.08,3.88,3,2
62.07,25.35,5.72,0.62,197.11,3,2
52.63,11.28,5.89,0.63,178.77,2,2
61.19,23.44,4.77,0.48,192.55,1,2
58.78,26.65,1.46,0.1,204.34,0,2
55.34,26.88,1.27,0.14,269.35,0,2
46.48,40.8,1.19,0.11,22.11,0,2
64.19,28.55,2.71,0.31,224.93,0,2
32.82,5.36,5.41,0.56,257.24,0,2
57.43,25.5,0.87,0.12,157.21,0,2
57.33,30.2,1.27,0.17,172.19,0,2
45.16,22.63,3.41,0.36,181.81,0,2
50.44,44.28,2.69,0.31,212.26,0,2
30.46,31.86,3.09,0.32,192.75,3,2
39.73,28.43,4.69,0.55,22.72,3,2
23.5,20.31,2.16,0.2,305.24,3,2
27.56,19.3,6.99,0.75,352.95,3,2
36.0,25.78,2.64,0.33,124.62,3,2
29.05,40.21,4.06,0.45,344.96,3,2
25.09,13.3,1.81,0.27,212.88,3,2
24.23,19.15,3.76,0.36,2.7,3,2
31.11,32.06,0.5,0.03,285.48,3,2
27.01,43.76,4.29,0.46,16.23,3,2
16.55,44.95,5.48,0.53,299.66,3,2
28.23,19.53,6.64,0.71,349.05,0,2
37.52,29.05,0.29,0.08,234.9,1,2
32.89,31.34,0.61,0.08,122.57,0,2
35.38,27.34,1.85,0.24,122.76,0,2
17.44,46.05,7.63,0.8,290.23,0,2
39.0,27.86,3.88,0.46,43.89,0,2
35.27,43.63,4.41,0.49,349.38,0,2
36.66,26.89,1.97,0.25,103.46,0,2
32.78,32.85,0.68,0.05,178.75,0,2
26.31,12.96,1.36,0.15,249.72,0,2
24.24,20.79,3.68,0.37,307.83,2,2
28.91,30.09,1.71,0.25,268.81,3,1
27.29,31.87,2.88,0.3,250.69,3,1
29.57,29.42,1.59,0.21,292.02,3,1
44.06,40.09,8.04,0.82,100.08,3,1
42.88,18.24,6.77,0.74,92.45,3,1
29.43,27.92,1.98,0.24,256.91,3,1
27.46,26.49,2.42,0.25,308.6,3,1
29.19,41.41,5.79,0.6,7.99,2,1
25.43,29.72,2.03,0.2,265.95,1,1
39.16,43.11,7.57,0.8,55.66,3,1
36.1,27.87,6.21,0.71,16.84,3,1
41.37,27.59,2.93,0.32,43.67,0,1
28.02,25.88,2.87,0.3,318.16,0,1
41.18,34.76,4.24,0.41,10.76,0,1
46.9,43.01,3.77,0.47,91.77,0,1
54.79,25.78,4.19,0.45,45.34,0,1
40.54,17.35,2.45,0.3,92.13,0,1
38.62,42.12,4.09,0.43,357.31,0,1
29.67,30.19,1.67,0.22,287.44,0,1
45.25,17.18,3.5,0.3,75.84,0,1
26.65,32.78,3.84,0.39,244.05,0,1
30.67,30.22,2.57,0.25,320.25,0,1
28.24,31.95,2.27,0.23,278.93,3,2
26.47,33.36,2.43,0.32,259.39,3,2
28.29,30.48,1.86,0.24,268.26,3,2
36.59,16.45,6.35,0.7,92.58,3,2
37.09,47.16,5.04,0.61,84.15,2,2
27.62,27.14,2.36,0.34,280.36,3,2
25.92,25.83,2.55,0.32,294.63,3,2
34.84,6.77,4.78,0.6,101.41,3,2
25.46,30.21,0.89,0.1,292.2,1,2
35.85,26.62,3.58,0.43,69.64,3,2
36.06,38.49,5.55,0.6,80.42,3,2
39.77,28.0,2.31,0.22,32.76,0,2
26.33,24.65,3.85,0.45,315.94,0,2
37.25,20.59,1.74,0.18,63.81,0,2
41.14,46.4,0.51,0.08,3.91,0,2
51.57,36.42,2.97,0.34,56.74,0,2
37.69,37.68,3.26,0.29,24.83,0,2
46.18,16.16,1.75,0.2,98.84,0,2
28.31,27.01,2.57,0.29,301.75,0,2
36.43,7.41,3.38,0.34,83.16,0,2
26.9,34.22,3.17,0.38,250.13,0,2
29.09,30.71,2.14,0.3,244.13,0,2
23.96,33.41,2.31,0.28,284.75,3,2
22.99,33.43,2.7,0.34,303.98,3,2
27.38,31.5,1.0,0.13,60.3,3,2
47.31,12.56,7.54,0.76,114.58,3,2
48.57,34.92,8.33,0.88,109.97,3,2
25.44,29.95,1.85,0.23,250.8,3,2
22.97,28.77,1.67,0.17,283.5,3,2
29.48,24.21,2.6,0.26,168.69,2,2
21.41,29.79,1.98,0.16,249.97,1,2
37.11,36.4,2.6,0.27,20.25,3,2
46.66,39.4,4.95,0.51,129.33,3,2
22.63,28.17,2.34,0.21,284.07,0,2
48.76,31.76,4.04,0.42,85.48,0,2
38.43,23.87,3.42,0.39,244.14,0,2
22.96,34.51,3.42,0.4,300.06,0,2
44.7,45.02,2.57,0.28,124.91,0,2
58.68,37.59,2.99,0.34,96.25,0,2
37.45,38.24,0.7,0.13,217.52,0,2
54.7,16.73,3.73,0.34,104.67,0,2
27.75,32.06,0.84,0.07,69.4,0,2
25.58,28.72,3.29,0.37,234.98,0,2
46.22,12.24,5.05,0.51,109.51,0,2
82.75,16.62,3.28,0.38,241.55,3,1
85.26,31.63,1.22,0.11,272.44,3,1
78.44,45.42,5.86,0.62,284.02,3,1
89.89,28.52,2.5,0.28,117.97,3,1
81.97,26.7,4.81,0.52,256.79,3,1
73.93,9.73,5.92,0.63,270.41,3,1
68.88,38.74,4.23,0.45,260.25,3,1
69.74,17.29,5.81,0.57,244.24,3,1
88.6,34.49,1.59,0.31,45.93,3,1
89.45,32.13,2.28,0.22,83.11,3,1
90.95,24.98,1.25,0.22,85.11,3,1
78.19,46.12,7.14,0.75,277.09,0,1
93.57,30.07,0.82,0.04,94.27,1,1
90.05,31.55,1.47,0.16,78.63,0,1
89.34,30.65,0.77,0.06,41.32,0,1
90.95,25.85,1.31,0.2,75.16,0,1
79.2,9.02,6.64,0.73,263.74,0,1
75.6,14.37,8.92,0.9,252.83,0,1
81.54,24.21,7.08,0.72,255.27,2,1
89.8,30.66,2.17,0.16,247.8,0,1
90.21,29.42,1.83,0.16,103.91,0,1
89.63,34.02,1.36,0.24,54.34,0,1
61.64,26.26,0.83,0.1,209.39,3,1
64.57,22.38,1.64,0.16,346.22,3,1
45.35,24.3,5.13,0.59,259.8,3,1
42.53,41.78,3.56,0.35,320.12,3,1
67.86,20.52,4.59,0.54,72.16,3,1
50.97,13.39,3.34,0.33,252.83,3,1
50.96,40.97,3.93,0.38,313.82,3,1
43.67,32.35,2.6,0.21,347.74,3,1
67.17,27.31,4.68,0.45,88.73,3,1
38.78,24.86,5.36,0.47,292.09,3,1
41.14,8.59,3.77,0.38,223.64,3,1
46.86,42.31,6.65,0.74,310.42,2,1
69.45,24.56,0.6,0.11,10.2,1,1
66.53,27.01,3.14,0.4,78.65,0,1
64.59,24.73,0.4,0.06,353.01,0,1
67.29,21.02,3.17,0.34,79.18,0,1
44.35,9.4,6.18,0.68,233.27,0,1
56.46,14.46,2.43,0.21,241.67,0,1
65.45,22.39,0.64,0.05,358.16,0,1
62.91,26.88,1.06,0.11,194.51,0,1
44.21,29.81,8.59,0.88,263.78,0,1
52.91,35.66,3.12,0.27,296.55,0,1
36.3,31.07,2.44,0.21,284.79,3,1
34.89,32.9,2.94,0.33,257.45,3,1
38.22,30.05,0.54,0.04,20.06,3,1
42.9,32.52,4.94,0.6,139.92,3,1
43.1,45.71,2.9,0.31,71.38,2,1
36.62,27.26,2.13,0.2,270.17,3,1
35.53,25.23,2.96,0.3,281.74,3,1
35.97,32.45,4.6,0.52,51.57,3,1
34.85,29.4,1.27,0.13,274.27,1,1
41.08,17.27,6.19,0.69,154.74,3,1
44.07,21.85,2.7,0.33,112.8,3,1
38.32,29.99,0.22,0.09,87.82,0,1
48.01,31.42,3.24,0.32,63.2,0,1
45.93,25.12,1.64,0.22,98.26,0,1
48.84,45.04,1.12,0.2,64.3,0,1
56.85,31.92,2.58,0.27,19.14,0,1
44.57,18.01,4.17,0.4,149.51,0,1
35.25,24.76,4.19,0.42,300.0,0,1
46.04,37.1,3.48,0.4,13.25,0,1
36.81,26.14,2.13,0.29,243.74,0,1
48.56,17.64,1.97,0.23,79.77,0,1
34.77,34.02,3.83,0.39,255.97,0,1
46.49,33.27,1.41,0.19,278.51,3,1
47.23,35.25,0.34,0.02,277.86,3,1
47.17,31.44,0.73,0.07,221.78,3,1
51.07,14.5,6.1,0.66,159.22,3,1
57.11,38.99,2.71,0.28,91.27,3,1
58.4,13.34,5.93,0.63,39.89,2,1
45.18,29.75,2.65,0.3,284.86,3,1
45.15,23.17,1.37,0.21,252.64,3,1
44.7,28.02,1.29,0.19,233.65,3,1
