index,x,y,speed,distance,direction,jerseyNumber,role,playId,result
14035,61.11,33.23,2.0,0.19,27.34,67.0,3,251,1
14141,63.54,38.46,3.0,0.39,36.25,75.0,3,251,1
14247,68.4,27.28,5.12,0.54,159.8,13.0,3,251,1
14353,57.55,35.54,0.53,0.09,197.79,71.0,3,251,1
14459,58.04,35.13,1.14,0.16,200.47,97.0,0,251,1
14565,61.58,32.35,1.0,0.21,222.99,92.0,0,251,1
14671,79.32,28.71,3.48,0.42,104.1,34.0,0,251,1
14777,80.39,21.68,2.41,0.32,124.09,22.0,0,251,1
14883,69.21,27.87,4.73,0.52,165.69,29.0,0,251,1
14989,66.4,24.32,2.51,0.33,185.02,55.0,0,251,1
15095,57.76,28.75,3.97,0.52,273.84,93.0,0,251,1
15201,67.67,27.46,3.86,0.47,144.91,54.0,0,251,1
15307,78.15,16.22,2.8,0.31,114.16,26.0,0,251,1
15413,52.81,28.18,5.66,0.62,297.97,99.0,0,251,1
15519,64.46,37.66,2.31,0.2,350.58,42.0,0,251,1
15725,77.48,34.54,0.73,0.07,250.95,60.0,3,285,1
15806,80.15,29.49,1.38,0.14,136.14,84.0,3,285,1
15887,76.44,39.76,5.83,0.61,15.3,22.0,3,285,1
15968,70.72,27.72,4.68,0.5,211.26,9.0,3,285,1
16049,79.5,33.8,1.47,0.16,353.44,64.0,3,285,1
16130,78.79,24.88,7.77,0.78,166.83,19.0,3,285,1
16211,86.54,37.63,4.98,0.52,128.08,82.0,3,285,1
16292,79.0,34.52,1.29,0.11,15.36,67.0,3,285,1
16373,86.12,26.9,6.27,0.66,99.81,89.0,3,285,1
16454,79.37,40.16,4.0,0.48,10.29,75.0,3,285,1
16535,77.35,39.72,2.48,0.26,339.75,71.0,3,285,1
16616,80.51,27.27,3.44,0.37,174.68,96.0,0,285,1
16697,80.44,34.6,1.38,0.16,53.27,92.0,0,285,1
16778,92.52,25.21,2.75,0.3,142.16,34.0,0,285,1
16859,93.77,33.95,3.98,0.45,141.69,22.0,0,285,1
16940,88.95,38.39,3.6,0.35,138.85,29.0,0,285,1
17021,81.68,40.5,2.69,0.32,5.64,55.0,0,285,1
17102,80.0,35.52,0.85,0.1,119.15,93.0,0,285,1
17183,81.95,34.3,2.13,0.28,154.7,54.0,0,285,1
17264,85.01,22.94,3.65,0.45,134.89,26.0,0,285,1
17345,78.16,40.62,2.67,0.28,332.91,99.0,0,285,1
17426,83.73,32.67,1.72,0.17,129.32,42.0,0,285,1
22105,82.79,24.25,1.33,0.16,346.92,60.0,3,407,2
22187,78.82,18.92,0.45,0.11,9.94,84.0,3,407,2
22269,75.98,33.76,3.94,0.45,359.91,22.0,3,407,2
22351,77.08,24.47,0.41,0.1,31.15,9.0,3,407,2
22433,78.73,21.44,2.54,0.29,299.61,64.0,3,407,2
22515,78.06,26.29,0.87,0.19,220.51,67.0,3,407,2
22597,89.16,26.83,5.25,0.61,0.71,16.0,3,407,2
22679,82.19,24.59,1.5,0.18,357.83,75.0,3,407,2
22761,98.85,41.79,1.76,0.15,110.53,13.0,3,407,2
22843,100.84,31.48,8.24,0.84,64.06,87.0,3,407,2
22925,83.93,24.86,0.62,0.11,72.63,71.0,3,407,2
23007,78.8,26.92,1.84,0.26,214.49,97.0,0,407,2
23089,86.61,27.34,3.39,0.37,3.06,96.0,0,407,2
23171,90.2,36.69,4.38,0.48,21.63,23.0,0,407,2
23253,84.83,24.02,0.51,0.05,131.82,92.0,0,407,2
23335,103.03,32.08,4.57,0.44,44.74,34.0,0,407,2
23417,105.09,21.21,5.73,0.58,50.72,22.0,0,407,2
23499,100.73,41.76,0.83,0.13,40.74,29.0,0,407,2
23581,89.61,19.17,0.89,0.04,23.57,55.0,0,407,2
23663,90.05,31.79,3.47,0.34,21.1,54.0,0,407,2
23745,98.79,17.17,5.06,0.54,73.51,26.0,0,407,2
23827,78.26,20.92,3.64,0.35,313.5,99.0,0,407,2
27869,101.55,29.64,2.17,0.26,40.41,94.0,3,470,0
27935,99.85,17.31,1.37,0.2,92.63,57.0,3,470,0
28001,78.63,31.62,3.41,0.42,162.5,32.0,3,470,0
28067,89.4,25.07,3.2,0.39,160.53,53.0,3,470,0
28133,97.51,23.04,1.36,0.15,181.8,95.0,3,470,0
28199,83.86,41.83,2.73,0.23,207.41,26.0,3,470,0
28265,99.38,20.21,2.16,0.32,60.3,98.0,3,470,0
28331,84.79,10.63,1.43,0.08,350.76,23.0,3,470,0
28397,88.7,19.69,1.18,0.17,34.57,47.0,3,470,0
28463,89.81,9.11,0.9,0.08,310.14,43.0,3,470,0
28529,101.35,22.72,0.34,0.03,172.44,8.0,0,470,0
28595,91.37,12.69,1.39,0.11,253.19,82.0,0,470,0
28661,101.26,28.94,3.14,0.35,50.95,61.0,0,470,0
28727,100.29,18.91,1.63,0.25,66.29,71.0,0,470,0
28793,101.38,27.11,1.24,0.17,119.6,72.0,0,470,0
28859,92.04,43.65,3.89,0.42,340.74,19.0,0,470,0
28925,89.27,4.04,4.73,0.5,198.3,14.0,0,470,0
28991,98.83,19.51,1.78,0.24,105.75,62.0,0,470,0
29057,87.24,34.73,4.95,0.57,195.53,11.0,0,470,0
29123,92.44,22.78,2.44,0.27,255.28,33.0,0,470,0
29189,98.2,23.26,0.75,0.1,202.93,65.0,0,470,0
30910,95.63,23.16,3.82,0.49,169.62,94.0,3,515,1
30987,97.63,20.04,1.81,0.24,83.09,57.0,3,515,1
31064,78.37,24.64,1.16,0.16,28.79,32.0,3,515,1
31141,87.46,25.85,3.1,0.43,4.71,53.0,3,515,1
31218,96.46,21.62,2.21,0.27,26.29,44.0,3,515,1
31295,83.85,8.23,4.34,0.59,222.7,26.0,3,515,1
31372,98.19,26.84,0.66,0.07,246.09,98.0,3,515,1
31449,85.92,24.34,7.07,0.69,191.77,21.0,3,515,1
31526,77.94,18.9,1.64,0.31,339.46,23.0,3,515,1
31603,80.17,32.51,4.96,0.53,295.79,47.0,3,515,1
31680,73.12,29.6,3.18,0.29,195.14,43.0,3,515,1
31757,97.68,23.02,0.33,0.08,229.41,8.0,0,515,1
31834,79.55,32.91,5.47,0.58,296.5,82.0,0,515,1
31911,95.51,24.79,2.24,0.23,176.08,61.0,0,515,1
31988,98.07,20.64,1.69,0.18,94.83,71.0,0,515,1
32065,98.17,25.77,0.63,0.07,120.33,72.0,0,515,1
32142,80.69,22.76,2.38,0.24,314.03,19.0,0,515,1
32219,88.81,21.34,6.38,0.64,191.97,14.0,0,515,1
32296,96.06,20.9,2.73,0.31,76.1,62.0,0,515,1
32373,87.91,25.29,3.15,0.34,344.16,11.0,0,515,1
32450,84.23,7.94,6.25,0.62,225.54,33.0,0,515,1
32527,95.32,21.65,2.43,0.29,158.07,65.0,0,515,1
32677,83.06,22.65,2.94,0.41,120.5,94.0,3,539,1
32748,78.08,28.81,1.19,0.12,98.82,51.0,3,539,1
32819,86.65,19.76,4.14,0.47,33.66,57.0,3,539,1
32890,71.58,40.23,5.95,0.62,280.78,32.0,3,539,1
32961,83.58,27.73,2.89,0.33,169.09,53.0,3,539,1
33032,79.35,21.86,1.17,0.03,211.85,95.0,3,539,1
33103,72.83,48.81,3.05,0.45,293.88,26.0,3,539,1
33174,82.3,18.39,2.37,0.25,135.87,98.0,3,539,1
33245,71.57,5.05,1.27,0.14,237.76,23.0,3,539,1
33316,77.72,26.11,1.66,0.27,19.38,47.0,3,539,1
33387,59.08,21.39,5.71,0.65,195.76,43.0,3,539,1
33458,85.37,22.73,0.61,0.04,125.54,8.0,0,539,1
33529,80.27,22.4,0.7,0.05,191.25,61.0,0,539,1
33600,85.87,19.44,3.26,0.43,49.92,71.0,0,539,1
33671,82.32,23.05,3.1,0.38,134.35,72.0,0,539,1
33742,72.41,4.38,1.11,0.1,272.63,19.0,0,539,1
33813,70.94,40.6,6.73,0.69,275.35,81.0,0,539,1
33884,74.23,49.15,2.11,0.22,281.27,14.0,0,539,1
33955,82.37,19.44,1.55,0.19,149.12,62.0,0,539,1
34026,84.15,27.63,2.32,0.23,165.43,89.0,0,539,1
34097,79.24,27.2,2.5,0.27,301.54,33.0,0,539,1
34168,80.06,20.91,1.14,0.09,181.96,65.0,0,539,1
36129,82.06,32.71,1.08,0.08,123.18,94.0,3,584,1
36211,78.37,31.28,0.55,0.1,7.6,57.0,3,584,1
36293,85.8,28.52,3.6,0.41,49.25,32.0,3,584,1
36375,70.6,25.82,6.35,0.66,182.26,53.0,3,584,1
36457,80.97,28.41,1.16,0.12,79.62,26.0,3,584,1
36539,80.83,32.19,1.84,0.23,141.85,98.0,3,584,1
36621,64.73,37.01,5.02,0.54,244.34,48.0,3,584,1
36703,56.58,38.99,4.87,0.51,235.39,21.0,3,584,1
36785,66.61,18.75,5.4,0.6,304.64,23.0,3,584,1
36867,63.08,31.5,6.64,0.71,225.06,47.0,3,584,1
36949,60.37,19.75,2.94,0.28,196.05,43.0,3,584,1
37031,82.24,29.76,0.11,0.03,218.93,8.0,0,584,1
37113,81.72,31.97,1.27,0.1,107.15,61.0,0,584,1
37195,62.49,31.65,7.56,0.79,229.59,17.0,0,584,1
37277,84.31,28.42,2.75,0.32,57.89,71.0,0,584,1
37359,82.31,31.92,1.13,0.13,113.8,72.0,0,584,1
37441,66.38,19.31,7.45,0.79,297.82,19.0,0,584,1
37523,72.94,25.01,8.23,0.82,186.42,14.0,0,584,1
37605,78.22,31.79,2.08,0.27,31.89,62.0,0,584,1
37687,64.27,35.89,5.01,0.53,242.2,89.0,0,584,1
37769,81.09,29.04,0.89,0.13,57.22,33.0,0,584,1
37851,80.2,31.31,1.05,0.11,186.33,65.0,0,584,1
39741,38.73,27.58,1.99,0.25,248.73,94.0,3,678,0
39816,43.15,19.16,1.42,0.15,122.3,57.0,3,678,0
39891,32.69,9.06,5.3,0.63,196.29,32.0,3,678,0
39966,28.73,28.53,2.27,0.27,152.06,53.0,3,678,0
40041,39.97,22.48,1.47,0.19,43.6,95.0,3,678,0
40116,30.53,39.94,2.81,0.37,319.62,26.0,3,678,0
40191,39.32,26.53,1.32,0.16,182.96,93.0,3,678,0
40266,25.75,35.98,1.66,0.15,148.34,21.0,3,678,0
40341,26.75,12.67,1.47,0.14,24.38,23.0,3,678,0
40416,29.85,20.55,2.18,0.31,28.55,47.0,3,678,0
40491,18.17,19.35,1.78,0.17,135.01,43.0,3,678,0
40566,42.27,23.33,0.65,0.07,105.8,8.0,0,678,0
40641,41.12,26.42,0.68,0.08,128.85,61.0,0,678,0
40716,31.4,39.9,4.82,0.52,332.7,17.0,0,678,0
40791,42.61,19.98,1.39,0.16,108.65,71.0,0,678,0
40866,40.8,27.11,0.38,0.05,123.79,74.0,0,678,0
40941,33.6,6.28,5.29,0.57,193.21,19.0,0,678,0
41016,34.64,23.07,3.19,0.27,272.37,21.0,0,678,0
41091,30.85,14.58,1.5,0.2,210.17,14.0,0,678,0
41166,41.0,22.45,1.15,0.19,86.9,62.0,0,678,0
41241,30.68,32.36,1.61,0.21,159.82,11.0,0,678,0
41316,39.85,27.42,1.68,0.16,8.83,65.0,0,678,0
41467,32.84,31.03,2.22,0.25,284.83,94.0,3,702,2
41539,20.2,27.54,4.36,0.53,242.91,32.0,3,702,2
41611,28.76,29.58,5.5,0.6,341.44,53.0,3,702,2
41683,35.45,20.4,3.99,0.47,357.39,44.0,3,702,2
41755,29.09,21.88,1.94,0.23,358.6,95.0,3,702,2
41827,23.39,43.32,6.85,0.72,306.13,26.0,3,702,2
41899,34.07,25.73,1.69,0.24,33.9,93.0,3,702,2
41971,24.4,37.34,5.52,0.62,206.22,21.0,3,702,2
42043,25.87,14.17,3.57,0.34,311.46,23.0,3,702,2
42115,27.0,16.55,4.15,0.44,202.18,47.0,3,702,2
42187,14.69,30.68,6.88,0.71,348.69,43.0,3,702,2
42259,37.19,24.25,0.08,0.03,272.06,8.0,0,702,2
42331,33.97,24.64,1.9,0.26,66.93,61.0,0,702,2
42403,23.72,44.29,7.45,0.74,302.13,17.0,0,702,2
42475,33.59,16.87,0.41,0.08,29.8,71.0,0,702,2
42547,34.52,30.23,1.04,0.16,285.91,74.0,0,702,2
42619,20.76,26.34,5.27,0.54,225.0,19.0,0,702,2
42691,29.58,15.81,5.39,0.61,211.89,21.0,0,702,2
42763,27.04,35.57,4.71,0.55,223.03,14.0,0,702,2
42835,27.91,17.31,3.26,0.33,215.02,62.0,0,702,2
42907,26.5,14.35,3.08,0.25,304.92,11.0,0,702,2
42979,28.42,20.63,1.96,0.22,281.9,65.0,0,702,2
46344,15.3,14.67,0.97,0.2,350.59,94.0,3,766,1
46415,5.19,12.16,3.08,0.4,178.52,32.0,3,766,1
46486,10.67,22.41,3.43,0.33,176.63,53.0,3,766,1
46557,22.69,23.61,0.82,0.1,200.32,95.0,3,766,1
46628,15.01,34.32,1.29,0.07,208.15,26.0,3,766,1
46699,26.4,28.72,1.85,0.23,106.22,98.0,3,766,1
46770,23.68,17.55,0.84,0.05,151.81,93.0,3,766,1
46841,12.26,42.55,0.77,0.05,178.24,21.0,3,766,1
46912,10.83,11.01,1.44,0.23,235.9,23.0,3,766,1
46983,13.82,25.79,4.49,0.4,193.37,47.0,3,766,1
47054,6.76,36.97,3.13,0.28,231.63,43.0,3,766,1
47125,27.97,24.15,0.25,0.01,31.24,8.0,0,766,1
47196,10.89,9.05,5.17,0.58,217.39,82.0,0,766,1
47267,22.96,24.34,0.62,0.05,138.77,61.0,0,766,1
47338,24.02,18.64,0.97,0.14,133.72,71.0,0,766,1
47409,26.02,27.79,1.79,0.24,113.72,74.0,0,766,1
47480,10.18,21.79,4.64,0.56,228.38,19.0,0,766,1
47551,16.82,21.77,6.2,0.64,185.5,14.0,0,766,1
47622,23.22,17.71,1.88,0.27,150.31,62.0,0,766,1
47693,7.17,39.03,6.56,0.67,236.19,11.0,0,766,1
47764,17.94,35.02,5.89,0.66,352.25,33.0,0,766,1
47835,23.19,23.55,0.53,0.03,183.1,65.0,0,766,1
47989,13.13,20.68,2.18,0.32,33.13,94.0,3,790,2
48059,4.59,12.71,1.56,0.17,213.73,32.0,3,790,2
48129,7.12,13.56,3.04,0.38,207.55,53.0,3,790,2
48199,20.82,24.08,2.28,0.29,222.73,95.0,3,790,2
48269,10.83,38.99,1.57,0.23,311.26,26.0,3,790,2
48339,21.27,29.21,3.37,0.41,270.71,98.0,3,790,2
48409,21.33,18.89,1.84,0.21,304.48,93.0,3,790,2
48479,8.75,51.3,1.84,0.25,222.29,21.0,3,790,2
48549,12.79,6.7,2.85,0.34,191.65,23.0,3,790,2
48619,10.07,25.05,5.01,0.63,177.36,47.0,3,790,2
48689,6.04,33.05,5.58,0.64,169.51,43.0,3,790,2
48759,19.07,21.26,4.54,0.49,268.57,8.0,0,790,2
48829,4.22,13.84,3.3,0.35,254.17,82.0,0,790,2
48899,22.37,24.74,0.81,0.1,217.06,61.0,0,790,2
48969,22.14,19.4,1.3,0.19,305.44,71.0,0,790,2
49039,23.22,27.66,1.17,0.13,253.63,74.0,0,790,2
49109,9.53,24.47,5.08,0.64,195.42,19.0,0,790,2
49179,11.53,40.8,2.08,0.26,255.14,14.0,0,790,2
49249,20.89,18.48,0.49,0.1,276.71,62.0,0,790,2
49319,9.77,50.39,1.92,0.25,213.28,11.0,0,790,2
49389,14.85,5.98,2.97,0.33,185.48,33.0,0,790,2
49459,20.81,25.07,1.49,0.17,219.19,65.0,0,790,2
55268,83.99,29.89,0.75,0.06,95.93,60.0,3,905,2
55333,87.75,30.93,1.08,0.11,338.06,9.0,3,905,2
55398,83.4,26.59,0.26,0.04,302.47,29.0,3,905,2
55463,85.75,32.11,2.24,0.29,87.13,64.0,3,905,2
55528,82.99,30.27,0.35,0.0,99.74,67.0,3,905,2
55593,76.92,32.4,6.59,0.7,352.21,89.0,3,905,2
55658,68.47,28.29,5.05,0.57,335.84,16.0,3,905,2
55723,84.03,29.24,0.09,0.06,218.5,75.0,3,905,2
55788,70.06,36.05,3.11,0.34,303.82,13.0,3,905,2
55853,67.65,48.99,8.39,0.87,292.1,87.0,3,905,2
55918,87.42,28.85,3.59,0.36,47.76,71.0,3,905,2
55983,88.14,28.84,4.67,0.46,32.96,97.0,0,905,2
56048,85.9,32.66,2.56,0.28,84.28,96.0,0,905,2
56113,68.85,35.55,2.64,0.33,265.52,23.0,0,905,2
56178,82.97,29.71,0.78,0.1,340.77,92.0,0,905,2
56243,61.08,32.7,4.77,0.48,335.23,34.0,0,905,2
56308,75.61,31.47,6.46,0.68,349.55,22.0,0,905,2
56373,68.57,26.08,4.92,0.52,331.51,29.0,0,905,2
56438,76.06,32.86,3.95,0.43,354.54,55.0,0,905,2
56503,82.4,25.87,0.97,0.14,325.61,54.0,0,905,2
56568,67.32,47.58,7.74,0.8,292.77,26.0,0,905,2
56633,82.91,31.24,1.79,0.22,27.1,99.0,0,905,2
62611,20.72,31.59,2.02,0.26,350.11,94.0,3,1045,1
62701,28.24,23.73,3.59,0.35,169.66,57.0,3,1045,1
62791,42.1,20.21,3.53,0.39,191.92,32.0,3,1045,1
62881,44.21,27.28,1.94,0.22,126.0,53.0,3,1045,1
62971,21.28,32.29,2.14,0.21,113.35,44.0,3,1045,1
63061,55.33,16.6,5.36,0.61,130.32,26.0,3,1045,1
63151,29.25,32.84,2.15,0.23,84.24,98.0,3,1045,1
63241,44.89,10.78,3.62,0.46,114.93,21.0,3,1045,1
63331,49.87,42.0,3.38,0.46,23.29,23.0,3,1045,1
63421,36.6,23.59,6.15,0.65,192.67,47.0,3,1045,1
63511,41.03,36.79,3.52,0.31,167.78,43.0,3,1045,1
63601,24.39,28.96,2.39,0.24,107.34,8.0,0,1045,1
63691,21.24,30.0,2.51,0.32,358.82,82.0,0,1045,1
63781,28.02,28.72,1.94,0.21,148.29,61.0,0,1045,1
63871,19.85,30.2,1.79,0.2,189.99,71.0,0,1045,1
63961,26.4,25.45,2.14,0.21,187.88,74.0,0,1045,1
64051,43.98,25.54,2.2,0.25,126.43,19.0,0,1045,1
64141,29.32,19.75,5.46,0.56,165.79,21.0,0,1045,1
64231,48.47,9.63,5.02,0.58,129.57,14.0,0,1045,1
64321,27.36,33.05,0.64,0.06,90.95,62.0,0,1045,1
64411,47.42,43.89,4.49,0.52,29.62,11.0,0,1045,1
64501,28.64,32.01,1.88,0.17,73.7,65.0,0,1045,1
67210,86.41,20.79,3.13,0.3,180.78,60.0,3,1094,0
67276,89.33,25.03,2.29,0.19,58.52,9.0,3,1094,0
67342,86.97,23.59,3.21,0.36,196.81,64.0,3,1094,0
67408,86.44,21.66,3.84,0.41,194.22,67.0,3,1094,0
67474,86.84,26.18,1.89,0.32,222.46,89.0,3,1094,0
67540,84.23,14.17,4.81,0.51,231.28,16.0,3,1094,0
67606,87.51,20.17,2.25,0.21,172.69,75.0,3,1094,0
67672,84.68,37.04,2.04,0.21,300.92,13.0,3,1094,0
67738,89.09,37.02,1.27,0.17,347.95,87.0,3,1094,0
67804,87.81,18.73,1.91,0.16,175.85,71.0,3,1094,0
67870,91.11,22.42,2.39,0.31,247.35,41.0,3,1094,0
67936,86.47,27.43,0.68,0.22,138.63,96.0,0,1094,0
68002,83.78,37.05,1.46,0.17,317.6,23.0,0,1094,0
68068,86.21,23.65,1.48,0.25,177.17,92.0,0,1094,0
68134,71.8,26.76,1.78,0.14,5.19,34.0,0,1094,0
68200,83.76,28.8,1.47,0.12,35.1,22.0,0,1094,0
68266,82.64,14.21,3.53,0.38,231.2,29.0,0,1094,0
68332,87.38,18.06,1.61,0.13,142.76,55.0,0,1094,0
68398,85.55,20.74,3.73,0.37,176.36,93.0,0,1094,0
68464,84.56,19.91,3.3,0.45,169.9,54.0,0,1094,0
68530,81.74,38.49,2.35,0.27,74.32,26.0,0,1094,0
68596,86.76,20.12,1.92,0.26,152.42,99.0,0,1094,0
68733,88.96,30.84,1.03,0.13,102.78,60.0,3,1118,1
68805,92.77,29.12,1.73,0.14,114.68,9.0,3,1118,1
68877,91.43,33.41,2.34,0.33,107.27,64.0,3,1118,1
68949,80.94,7.07,5.68,0.63,260.13,19.0,3,1118,1
69021,84.81,17.7,6.18,0.69,183.53,82.0,3,1118,1
69093,89.18,31.49,1.5,0.13,97.03,67.0,3,1118,1
69165,84.32,12.75,4.87,0.57,204.05,16.0,3,1118,1
69237,88.99,27.32,1.91,0.2,97.63,75.0,3,1118,1
69309,83.39,43.13,4.24,0.48,225.74,13.0,3,1118,1
69381,90.36,26.2,1.86,0.26,98.0,71.0,3,1118,1
69453,91.57,18.48,6.79,0.72,187.85,41.0,3,1118,1
69525,91.52,34.51,3.1,0.4,115.05,96.0,0,1118,1
69597,82.58,12.51,3.53,0.41,174.32,23.0,0,1118,1
69669,88.67,26.66,2.33,0.29,95.9,92.0,0,1118,1
69741,82.31,16.36,5.66,0.6,146.63,34.0,0,1118,1
69813,72.55,30.25,5.47,0.58,200.77,22.0,0,1118,1
69885,75.16,7.41,3.03,0.35,258.73,29.0,0,1118,1
69957,81.34,30.27,3.67,0.34,185.37,55.0,0,1118,1
70029,88.31,31.16,1.3,0.15,104.62,93.0,0,1118,1
70101,81.32,25.33,5.11,0.5,183.05,54.0,0,1118,1
70173,82.38,44.26,3.27,0.32,210.6,26.0,0,1118,1
70245,89.34,22.99,3.45,0.42,127.17,99.0,0,1118,1
71886,63.77,36.69,1.72,0.23,356.36,60.0,3,1193,2
71959,46.88,43.34,6.59,0.7,340.06,84.0,3,1193,2
72032,58.7,26.62,1.03,0.1,292.21,22.0,3,1193,2
72105,72.58,42.42,5.44,0.57,26.14,9.0,3,1193,2
72178,56.21,22.72,4.34,0.47,322.97,29.0,3,1193,2
72251,61.8,35.77,1.76,0.19,343.54,64.0,3,1193,2
72324,70.43,29.88,2.62,0.29,45.33,67.0,3,1193,2
72397,64.26,31.39,0.74,0.09,45.87,75.0,3,1193,2
72470,49.79,41.43,7.06,0.76,6.52,13.0,3,1193,2
72543,64.7,30.7,0.89,0.12,33.03,71.0,3,1193,2
72616,60.85,42.86,6.25,0.66,349.11,41.0,3,1193,2
72689,64.17,30.82,0.57,0.05,345.66,98.0,0,1193,2
72762,70.77,42.37,5.8,0.61,47.74,96.0,0,1193,2
72835,50.6,45.2,4.18,0.47,349.6,23.0,0,1193,2
72908,62.43,36.27,2.71,0.29,341.24,92.0,0,1193,2
72981,45.2,43.33,6.19,0.65,358.03,34.0,0,1193,2
73054,36.48,33.29,6.2,0.66,337.97,22.0,0,1193,2
73127,48.39,39.36,7.98,0.84,18.27,29.0,0,1193,2
73200,54.8,20.49,3.08,0.36,318.58,55.0,0,1193,2
73273,55.79,27.36,0.68,0.07,34.54,54.0,0,1193,2
73346,69.51,34.53,6.3,0.65,355.4,99.0,0,1193,2
73419,58.66,42.09,6.94,0.75,16.36,42.0,0,1193,2
73549,65.72,30.21,1.63,0.23,77.87,60.0,3,1215,1
73650,60.28,28.69,2.91,0.32,273.18,22.0,3,1215,1
73751,67.59,30.34,0.35,0.06,359.36,9.0,3,1215,1
73852,67.35,31.9,1.8,0.21,115.3,64.0,3,1215,1
73953,66.31,32.06,2.66,0.3,63.36,67.0,3,1215,1
74054,55.63,9.08,5.66,0.63,198.39,89.0,3,1215,1
74155,56.85,17.54,3.64,0.44,177.82,16.0,3,1215,1
74256,66.41,28.18,1.99,0.27,83.3,75.0,3,1215,1
74357,55.15,50.99,1.31,0.14,318.88,13.0,3,1215,1
74458,48.96,7.96,7.86,0.85,259.84,87.0,3,1215,1
74559,67.78,27.84,2.27,0.24,45.79,71.0,3,1215,1
74660,67.15,27.47,2.27,0.27,33.66,97.0,0,1215,1
74761,64.78,30.49,1.54,0.18,91.64,96.0,0,1215,1
74862,47.44,9.47,4.24,0.47,289.72,23.0,0,1215,1
74963,66.9,28.38,2.57,0.36,66.98,92.0,0,1215,1
75064,56.15,17.75,1.89,0.29,174.22,34.0,0,1215,1
75165,43.87,29.81,2.47,0.28,331.14,22.0,0,1215,1
75266,56.34,35.69,3.71,0.33,353.03,55.0,0,1215,1
75367,53.49,32.7,4.51,0.47,338.22,54.0,0,1215,1
75468,54.22,51.07,1.83,0.27,325.16,26.0,0,1215,1
75569,67.13,32.39,2.42,0.25,113.16,99.0,0,1215,1
75670,53.29,9.8,5.39,0.64,170.58,20.0,0,1215,1
75875,60.73,29.63,2.05,0.21,80.13,60.0,3,1239,0
75946,52.46,31.03,2.77,0.3,313.74,22.0,3,1239,0
