playId,init_x,init_y,init_s,init_d,recv_x,recv_y,recv_s,recv_d,init_opp_1_x,init_opp_1_y,init_opp_1_s,init_opp_1_d,init_opp_2_x,init_opp_2_y,init_opp_2_s,init_opp_2_d,init_opp_3_x,init_opp_3_y,init_opp_3_s,init_opp_3_d,recv_opp_1_x,recv_opp_1_y,recv_opp_1_s,recv_opp_1_d,recv_opp_2_x,recv_opp_2_y,recv_opp_2_s,recv_opp_2_d,recv_opp_3_x,recv_opp_3_y,recv_opp_3_s,recv_opp_3_d,result
1556.0,21.0,30.0,1.98,249.97,29.0,24.0,2.6,168.69,23.0,29.0,1.67,283.5,23.0,28.0,2.34,284.07,23.0,33.0,2.7,303.98,26.0,29.0,3.29,234.98,25.0,30.0,1.85,250.8,27.0,32.0,1.0,60.3,2.0
1603.0,94.0,30.0,0.82,94.27,82.0,24.0,7.08,255.27,90.0,29.0,1.83,103.91,90.0,31.0,2.17,247.8,90.0,32.0,1.47,78.63,82.0,27.0,4.81,256.79,83.0,17.0,3.28,241.55,85.0,32.0,1.22,272.44,1.0
1705.0,69.0,25.0,0.6,10.2,47.0,42.0,6.65,310.42,67.0,27.0,4.68,88.73,67.0,27.0,3.14,78.65,67.0,21.0,3.17,79.18,51.0,41.0,3.93,313.82,43.0,42.0,3.56,320.12,53.0,36.0,3.12,296.55,1.0
1872.0,35.0,29.0,1.27,274.27,43.0,46.0,2.9,71.38,36.0,31.0,2.44,284.79,37.0,27.0,2.13,270.17,36.0,32.0,4.6,51.57,49.0,45.0,1.12,64.3,46.0,37.0,3.48,13.25,43.0,33.0,4.94,139.92,1.0
1965.0,44.0,30.0,2.03,291.64,58.0,13.0,5.93,39.89,45.0,30.0,2.65,284.86,45.0,28.0,1.29,233.65,46.0,29.0,3.01,274.06,56.0,16.0,4.94,181.94,62.0,11.0,4.39,37.66,51.0,14.0,6.1,159.22,1.0
2031.0,70.0,20.0,6.36,187.64,85.0,11.0,7.02,182.43,72.0,21.0,5.69,187.33,73.0,23.0,4.16,187.29,76.0,22.0,6.76,184.89,86.0,13.0,7.48,191.61,88.0,4.0,4.06,154.34,89.0,4.0,4.49,157.58,2.0
2081.0,73.0,30.0,1.08,273.16,84.0,19.0,4.83,54.93,74.0,29.0,2.1,296.7,74.0,31.0,2.51,233.73,74.0,28.0,2.41,303.41,85.0,19.0,1.96,52.08,82.0,29.0,0.19,354.34,87.0,30.0,2.82,161.24,1.0
2105.0,87.0,30.0,0.5,242.88,98.0,13.0,5.53,50.44,90.0,29.0,1.56,269.92,89.0,32.0,0.91,249.97,90.0,29.0,2.7,265.13,98.0,12.0,4.4,53.58,96.0,14.0,4.13,177.41,92.0,15.0,6.72,162.14,1.0
2193.0,78.0,24.0,1.19,79.59,68.0,28.0,6.06,190.89,78.0,21.0,3.87,61.54,76.0,23.0,2.08,53.46,79.0,21.0,5.13,43.17,63.0,27.0,5.74,228.71,62.0,29.0,1.31,255.64,75.0,28.0,1.4,162.75,1.0
2238.0,76.0,24.0,0.71,341.47,66.0,21.0,5.05,211.28,78.0,23.0,3.87,32.75,75.0,21.0,0.59,50.66,74.0,22.0,0.82,80.57,70.0,25.0,2.0,206.7,71.0,24.0,3.05,144.56,63.0,27.0,1.09,228.52,1.0
2349.0,24.0,29.0,1.96,293.12,40.0,17.0,2.96,7.21,26.0,29.0,3.6,294.1,25.0,27.0,4.18,304.86,26.0,27.0,2.79,279.53,43.0,14.0,1.58,61.2,42.0,22.0,0.72,316.01,49.0,13.0,6.57,152.18,1.0
2401.0,41.0,29.0,0.52,195.86,64.0,41.0,8.78,80.74,42.0,31.0,3.23,204.01,44.0,28.0,2.47,267.86,43.0,27.0,5.55,307.48,63.0,42.0,7.68,82.13,55.0,33.0,3.09,32.99,73.0,31.0,5.43,49.98,1.0
2450.0,89.0,29.0,1.13,269.45,102.0,42.0,5.21,10.92,90.0,30.0,1.21,243.31,90.0,31.0,1.15,234.63,93.0,26.0,1.56,255.24,105.0,40.0,3.95,353.43,102.0,33.0,3.42,37.37,106.0,50.0,6.12,80.42,1.0
2534.0,96.0,23.0,0.55,255.07,107.0,20.0,7.03,172.73,97.0,21.0,3.02,296.73,96.0,21.0,3.93,306.35,97.0,27.0,2.14,234.99,110.0,21.0,1.99,134.37,110.0,18.0,2.89,210.2,111.0,21.0,3.91,53.38,1.0
2638.0,95.0,29.0,2.42,40.9,71.0,15.0,7.02,228.98,94.0,28.0,4.3,44.71,91.0,28.0,1.36,46.13,89.0,29.0,1.71,94.47,75.0,14.0,5.59,205.69,66.0,6.0,5.58,251.28,68.0,5.0,9.45,257.68,0.0
2763.0,36.0,24.0,2.0,74.0,31.0,17.0,4.07,317.61,35.0,25.0,2.34,6.4,34.0,24.0,2.97,47.3,35.0,26.0,3.9,354.72,35.0,20.0,3.74,34.49,24.0,16.0,2.57,357.31,34.0,24.0,2.97,47.3,2.0
2806.0,40.0,29.0,0.54,149.11,24.0,23.0,5.13,283.99,38.0,30.0,1.15,91.65,37.0,29.0,0.73,87.52,37.0,27.0,1.81,132.27,24.0,21.0,2.53,294.55,28.0,19.0,6.22,353.25,30.0,22.0,4.87,11.79,1.0
2989.0,32.0,30.0,1.47,284.96,40.0,34.0,2.57,40.91,34.0,30.0,1.18,320.33,35.0,31.0,1.72,326.8,34.0,33.0,0.22,90.14,44.0,35.0,1.31,281.83,44.0,31.0,2.64,141.48,35.0,31.0,1.72,326.8,1.0
3017.0,33.0,30.0,1.05,314.22,51.0,38.0,5.35,45.42,34.0,32.0,1.99,224.64,34.0,32.0,2.05,212.73,33.0,27.0,3.52,328.81,52.0,38.0,4.1,47.74,47.0,34.0,4.1,21.66,51.0,45.0,7.91,71.01,1.0
3041.0,48.0,20.0,6.07,166.11,64.0,23.0,8.62,173.12,59.0,22.0,3.75,147.39,57.0,27.0,4.25,161.32,50.0,34.0,1.02,243.42,59.0,22.0,3.75,147.39,57.0,27.0,4.25,161.32,73.0,20.0,7.03,217.16,1.0
3330.0,107.0,24.0,2.24,294.41,109.0,37.0,3.75,153.41,106.0,23.0,2.59,94.84,109.0,24.0,0.64,351.34,109.0,26.0,0.9,331.31,111.0,36.0,3.64,123.95,111.0,36.0,2.51,150.82,112.0,37.0,3.32,188.9,4.0
3382.0,93.0,26.0,0.1,161.49,65.0,18.0,9.81,279.37,91.0,25.0,2.2,86.76,91.0,24.0,2.38,81.06,89.0,27.0,1.17,86.58,63.0,15.0,8.65,282.58,64.0,21.0,7.63,267.96,71.0,23.0,6.67,186.88,1.0
3469.0,85.0,25.0,2.55,318.06,94.0,37.0,6.88,19.11,85.0,23.0,4.55,329.96,84.0,27.0,4.76,237.05,84.0,27.0,3.57,249.29,96.0,35.0,6.36,18.83,100.0,34.0,5.2,37.86,101.0,33.0,2.81,19.6,1.0
3493.0,88.0,29.0,4.16,239.98,96.0,23.0,6.65,168.97,92.0,31.0,2.59,256.84,91.0,26.0,4.82,275.71,93.0,32.0,2.33,234.34,91.0,26.0,4.82,275.71,99.0,29.0,1.49,122.32,100.0,30.0,1.86,127.77,1.0
3524.0,99.0,23.0,3.99,257.45,113.0,22.0,6.64,160.99,101.0,23.0,6.73,249.0,100.0,20.0,4.64,291.38,102.0,20.0,3.24,272.2,111.0,24.0,4.77,20.57,116.0,24.0,7.06,156.69,115.0,25.0,6.94,160.09,4.0
3670.0,65.0,29.0,0.72,69.31,56.0,34.0,3.66,246.28,65.0,30.0,1.33,140.55,65.0,30.0,1.26,151.27,63.0,28.0,2.91,84.3,63.0,28.0,2.38,103.65,61.0,27.0,2.11,125.52,65.0,30.0,1.26,151.27,1.0
3740.0,30.0,29.0,0.62,123.58,18.0,27.0,2.71,310.36,30.0,31.0,1.79,119.19,30.0,32.0,2.87,131.75,30.0,26.0,1.24,44.8,20.0,33.0,1.71,310.72,18.0,21.0,2.03,280.47,17.0,21.0,1.36,309.8,1.0
3837.0,38.0,30.0,0.91,0.49,49.0,26.0,0.9,98.8,38.0,28.0,1.54,245.68,40.0,31.0,0.19,48.02,39.0,28.0,3.36,351.84,54.0,23.0,0.8,284.2,51.0,32.0,1.12,161.86,41.0,31.0,0.56,140.03,2.0
3859.0,37.0,33.0,3.48,335.9,56.0,46.0,5.25,15.44,39.0,34.0,2.86,296.63,39.0,33.0,1.65,294.04,36.0,30.0,2.35,298.43,58.0,46.0,3.49,357.09,49.0,41.0,3.35,5.67,48.0,42.0,3.12,12.12,2.0
3881.0,35.0,30.0,1.76,331.77,49.0,18.0,2.87,181.65,36.0,30.0,2.91,282.24,37.0,30.0,1.68,283.14,39.0,29.0,1.28,220.57,53.0,19.0,3.08,177.55,57.0,15.0,3.23,162.09,59.0,16.0,7.49,140.75,2.0
3964.0,106.0,31.0,4.82,49.08,86.0,47.0,6.21,293.18,105.0,31.0,6.8,67.75,102.0,33.0,3.92,69.68,102.0,30.0,2.27,87.61,86.0,46.0,5.54,294.34,87.0,34.0,4.16,309.12,75.0,36.0,4.77,320.1,2.0
4011.0,39.0,27.0,1.45,12.47,67.0,45.0,9.39,77.05,40.0,26.0,1.88,274.34,40.0,26.0,3.34,312.04,42.0,27.0,1.56,322.99,67.0,44.0,7.63,79.09,63.0,35.0,5.46,73.96,50.0,33.0,2.55,71.8,1.0
4082.0,100.0,29.0,1.55,256.87,110.0,14.0,2.27,37.88,102.0,29.0,3.83,225.73,102.0,31.0,1.07,200.33,103.0,29.0,0.93,210.4,111.0,13.0,0.7,264.65,115.0,19.0,5.01,137.93,115.0,19.0,5.82,143.39,4.0
4153.0,73.0,23.0,0.14,121.05,84.0,13.0,5.14,159.41,76.0,24.0,1.53,254.27,76.0,24.0,1.9,211.08,73.0,20.0,2.86,318.29,86.0,14.0,4.51,174.1,93.0,12.0,7.16,79.31,93.0,13.0,7.94,85.89,1.0
4202.0,80.0,24.0,0.68,267.64,94.0,28.0,6.06,154.67,80.0,26.0,4.07,241.97,79.0,26.0,3.99,241.4,83.0,24.0,1.34,287.55,94.0,31.0,5.18,147.82,99.0,26.0,3.3,199.32,94.0,36.0,3.72,10.62,1.0
4230.0,87.0,25.0,1.63,323.99,106.0,41.0,7.01,30.54,86.0,27.0,4.36,244.12,85.0,28.0,2.15,257.14,90.0,23.0,1.18,260.57,109.0,40.0,5.1,14.42,104.0,31.0,5.11,108.61,104.0,30.0,5.99,99.63,0.0
4330.0,104.0,3.0,6.35,154.59,116.0,10.0,5.81,168.01,105.0,7.0,6.52,159.92,108.0,6.0,7.09,187.08,113.0,2.0,1.67,144.97,117.0,10.0,6.24,169.59,111.0,14.0,3.98,185.79,110.0,16.0,2.42,187.22,2.0
4432.0,100.0,25.0,1.05,316.55,111.0,39.0,0.6,8.76,103.0,25.0,0.65,249.88,103.0,26.0,0.69,274.82,102.0,28.0,1.78,248.98,112.0,38.0,1.6,306.02,114.0,28.0,2.96,126.14,114.0,28.0,4.65,126.77,3.0
4476.0,51.0,24.0,3.52,276.26,60.0,37.0,4.21,165.06,52.0,24.0,4.62,270.28,52.0,28.0,2.16,270.23,54.0,24.0,3.34,250.62,66.0,40.0,4.76,61.22,66.0,39.0,4.66,60.13,70.0,38.0,4.66,201.08,2.0
4502.0,51.0,23.0,2.62,260.13,55.0,16.0,0.87,167.52,53.0,24.0,3.63,227.75,54.0,23.0,4.82,232.98,51.0,27.0,4.25,246.97,54.0,20.0,3.51,258.43,62.0,17.0,3.11,237.7,54.0,23.0,4.82,232.98,1.0
4577.0,42.0,24.0,0.76,27.72,65.0,31.0,7.35,112.49,44.0,25.0,1.57,242.58,45.0,24.0,1.36,242.94,44.0,22.0,0.53,276.37,62.0,30.0,2.36,52.15,62.0,38.0,5.66,101.55,72.0,34.0,3.88,94.27,2.0
