time,jerseyNumber,team,behaviour,closeTeams,distantTeams,closeOps,distantOps,coordinate_x,coordinate_y,speed,direction
2,54,1,16,3,7,0,11,63.06,12.99,8.48,279.55
2,32,1,16,4,6,1,10,62.02,30.38,9.21,273.11
2,24,1,16,4,6,0,11,63.96,16.2,8.94,279.28
2,58,1,16,3,7,0,11,62.6,34.18,9.03,268.76
2,43,1,16,3,7,1,10,62.26,18.85,8.61,276.4
2,50,1,16,4,6,0,11,63.46,40.21,8.62,270.48
2,36,1,16,4,6,1,10,61.85,23.86,9.12,277.56
2,97,0,16,2,8,0,11,52.07,38.74,6.86,268.49
2,82,0,16,1,9,0,11,24.31,24.15,6.26,334.32
2,30,0,16,1,9,0,11,50.97,44.35,7.18,256.49
2,88,0,16,0,10,0,11,24.63,38.37,2.82,286.43
2,50,0,16,1,9,0,11,32.3,29.6,2.6,295.99
2,57,0,16,2,8,0,11,51.21,13.94,6.39,282.59
2,31,0,16,0,10,0,11,15.74,29.32,5.51,110.57
2,47,0,16,1,9,1,10,52.9,31.49,6.92,266.76
2,38,0,16,1,9,0,11,51.89,7.6,6.66,290.57
2,17,0,16,0,10,0,11,8.14,38.06,3.69,180.14
2,26,0,16,1,9,2,9,53.39,20.7,6.17,278.07
3,26,1,16,2,8,0,11,56.04,44.37,8.61,270.78
3,22,1,16,2,8,0,11,57.3,8.46,7.86,288.67
3,4,1,16,0,10,0,11,66.38,30.42,4.35,297.86
3,38,1,16,2,8,2,9,51.58,44.79,10.09,267.44
3,54,1,16,3,7,1,10,54.42,14.69,8.73,281.15
3,32,1,16,3,7,1,10,52.35,31.07,9.81,272.31
3,24,1,16,4,6,2,9,54.81,17.78,9.3,281.42
3,58,1,16,3,7,2,9,53.11,34.11,9.6,272.16
3,43,1,16,3,7,2,9,53.48,20.15,8.85,281.68
3,50,1,16,4,6,1,10,54.46,40.34,9.08,270.17
3,36,1,16,4,6,2,9,52.45,25.38,9.6,280.32
3,97,0,16,2,8,3,8,44.61,38.97,7.23,270.54
3,82,0,16,3,7,0,11,21.35,30.22,6.38,335.97
3,30,0,16,1,9,1,10,43.46,42.73,7.4,259.04
3,88,0,16,2,8,0,11,22.17,39.1,2.11,284.41
3,50,0,16,1,9,0,11,29.87,30.25,2.09,290.0
3,57,0,16,2,8,3,8,45.0,15.98,6.05,293.22
3,31,0,16,2,8,0,11,15.01,35.09,5.78,348.12
3,47,0,16,2,8,3,8,45.42,31.27,7.13,275.52
3,38,0,16,1,9,0,11,45.29,10.5,6.88,298.81
3,17,0,16,0,10,0,11,7.2,41.44,3.66,316.88
3,26,0,16,2,8,3,8,46.56,21.78,6.77,282.32
4,26,1,13,2,8,0,11,47.44,44.69,8.46,276.15
4,22,1,13,2,8,0,11,50.05,11.59,7.7,296.82
4,4,1,13,0,10,0,11,62.43,32.35,4.46,296.78
4,38,1,13,2,8,2,9,41.39,44.77,10.18,274.78
4,54,1,13,3,7,3,8,46.0,16.37,8.03,287.5
4,32,1,13,4,6,3,8,42.48,31.1,9.52,270.13
4,24,1,13,4,6,3,8,45.76,19.86,8.99,280.99
4,58,1,13,3,7,3,8,43.48,34.95,9.26,277.71
4,43,1,13,4,6,3,8,45.0,22.48,8.44,290.32
4,50,1,13,4,6,3,8,45.33,40.26,8.95,270.67
4,36,1,13,4,6,3,8,42.98,27.26,9.47,281.48
4,97,0,13,2,8,4,7,37.72,38.8,6.08,266.79
4,82,0,13,2,8,0,11,19.22,35.68,4.49,346.53
4,30,0,13,2,8,3,8,36.47,41.6,6.99,270.35
4,88,0,13,2,8,0,11,20.57,39.47,1.19,303.14
4,50,0,13,0,10,0,11,28.42,31.14,1.72,317.88
4,57,0,13,2,8,4,7,40.11,18.65,5.28,301.39
4,31,0,13,3,7,0,11,13.6,40.65,5.36,353.2
4,47,0,13,3,7,4,7,38.84,32.87,6.39,288.08
4,38,0,13,2,8,3,8,39.96,14.11,5.15,305.54
4,17,0,13,1,9,0,11,7.44,45.36,3.73,13.09
4,26,0,13,3,7,5,6,40.31,23.62,5.78,295.28
5,26,1,11,2,8,0,11,39.26,46.18,7.89,282.53
5,22,1,11,2,8,2,9,43.58,15.35,7.05,304.42
5,4,1,11,0,10,0,11,58.43,34.47,4.66,299.79
5,38,1,11,2,8,2,9,31.34,46.49,10.09,281.66
5,54,1,11,3,7,3,8,39.22,19.6,7.35,308.1
5,32,1,11,4,6,4,7,33.4,31.3,8.25,281.69
5,24,1,11,4,6,3,8,37.18,21.12,8.24,278.73
5,58,1,11,3,7,5,6,34.82,36.48,8.12,277.38
5,43,1,11,4,6,3,8,37.7,25.85,7.2,290.05
5,50,1,11,4,6,3,8,36.58,40.64,8.51,277.8
5,36,1,11,4,6,5,6,33.95,29.16,8.56,283.12
5,97,0,11,3,7,5,6,32.48,38.4,4.15,271.15
5,82,0,11,2,8,0,11,19.13,38.85,2.35,109.99
5,30,0,11,3,7,3,8,29.53,42.88,7.07,286.37
5,88,0,11,3,7,0,11,20.15,40.28,0.74,340.99
5,50,0,11,2,8,3,8,27.49,32.65,1.97,301.44
5,57,0,11,2,8,5,6,35.92,21.36,4.91,294.48
5,31,0,11,3,7,0,11,13.63,45.64,4.23,352.24
5,47,0,11,4,6,4,7,33.22,35.08,5.65,288.47
5,38,0,11,1,9,4,7,36.9,16.39,2.82,313.43
5,17,0,11,1,9,0,11,8.71,48.57,2.79,15.78
5,26,0,11,2,8,6,5,36.1,26.58,4.96,299.52
6,26,1,34,1,9,2,9,32.08,48.03,6.69,284.14
6,22,1,34,2,8,2,9,38.45,19.54,6.07,313.61
6,4,1,34,0,10,0,11,54.34,36.97,4.7,302.07
6,38,1,34,1,9,4,7,21.64,48.71,9.56,279.48
6,54,1,34,3,7,3,8,34.48,25.31,7.55,324.5
6,32,1,34,4,6,6,5,26.4,34.35,7.47,297.24
6,24,1,34,4,6,3,8,29.52,22.6,7.52,293.68
6,58,1,34,3,7,7,4,27.36,37.02,6.95,276.31
6,43,1,34,4,6,4,7,31.4,27.4,6.65,284.84
6,50,1,34,4,6,5,6,28.51,42.52,7.98,284.25
6,36,1,34,4,6,5,6,26.3,31.11,7.75,285.38
6,97,0,34,4,6,5,6,29.46,38.89,2.17,273.89
6,82,0,34,4,6,4,7,19.2,40.46,1.2,311.2
6,30,0,34,3,7,4,7,22.97,45.46,6.63,295.0
6,88,0,34,5,5,4,7,20.01,40.87,0.68,350.59
6,50,0,34,5,5,4,7,24.97,33.03,3.68,275.97
6,57,0,34,2,8,5,6,31.17,22.8,4.79,298.12
6,31,0,34,1,9,1,10,12.43,48.98,2.86,325.97
6,47,0,34,5,5,5,6,28.14,36.43,4.74,282.44
6,38,0,34,1,9,3,8,35.76,17.99,1.62,329.94
6,17,0,34,1,9,0,11,8.95,50.72,1.28,209.67
6,26,0,34,3,7,6,5,31.52,28.38,5.41,284.98
38,98,1,0,7,3,7,4,35.78,22.65,0.83,298.72
38,94,1,0,6,4,9,2,35.64,35.26,0.39,262.03
38,26,1,0,7,3,8,3,38.45,32.06,0.26,285.45
38,22,1,0,1,9,1,10,36.13,43.09,0.35,123.86
38,90,1,0,8,2,10,1,35.79,29.14,0.22,191.46
38,95,1,0,8,2,10,1,36.12,26.43,0.43,226.33
38,52,1,0,8,2,9,2,38.71,28.84,0.69,297.18
38,23,1,0,5,5,5,6,39.94,21.3,5.47,179.39
38,99,1,0,7,3,9,2,35.75,32.08,0.26,235.04
38,20,1,0,0,10,0,11,51.66,29.53,1.18,102.38
38,31,1,0,7,3,7,4,38.86,23.48,0.11,206.18
38,15,0,0,0,10,2,9,34.34,43.6,0.47,108.96
38,2,0,0,9,1,8,3,33.52,29.64,0.35,284.13
38,63,0,0,9,1,9,2,33.97,28.1,0.17,244.26
38,67,0,0,9,1,9,2,34.41,29.5,0.15,228.88
38,74,0,0,8,2,6,5,33.98,32.67,0.39,154.51
38,88,0,0,9,1,8,3,34.06,24.81,0.23,71.94
38,11,0,0,7,3,6,5,32.81,22.4,5.01,171.08
38,44,0,0,8,2,6,5,30.84,32.3,0.52,57.44
38,28,0,0,9,1,4,7,27.94,29.37,0.43,58.12
38,75,0,0,9,1,8,3,33.92,31.38,0.36,181.24
38,77,0,0,9,1,9,2,33.99,26.13,0.38,241.35
39,98,1,16,7,3,9,2,34.36,23.22,2.13,282.37
39,94,1,16,6,4,9,2,34.89,34.98,0.62,242.01
39,26,1,16,7,3,9,2,38.12,32.32,0.91,340.25
39,22,1,16,1,9,1,10,36.85,43.34,2.09,66.51
39,90,1,16,7,3,9,2,35.32,28.82,1.72,232.16
39,95,1,16,7,3,10,1,35.18,26.74,1.82,275.98
39,52,1,16,7,3,9,2,37.67,29.09,1.4,285.2
39,23,1,16,2,8,2,9,40.52,16.84,3.91,165.98
39,99,1,16,7,3,9,2,35.5,31.79,1.18,217.78
39,20,1,16,0,10,0,11,53.0,29.36,1.74,115.39
39,31,1,16,7,3,8,3,38.92,23.46,0.82,127.78
39,15,0,16,0,10,2,9,35.4,44.08,2.68,65.9
39,2,0,16,8,2,8,3,32.7,29.65,1.64,266.23
39,63,0,16,9,1,8,3,33.62,27.8,1.26,238.5
39,67,0,16,8,2,8,3,34.16,29.18,1.19,229.1
39,74,0,16,8,2,8,3,34.24,32.1,1.08,186.31
39,88,0,16,9,1,8,3,34.65,24.59,2.35,115.42
39,11,0,16,3,7,4,7,34.17,18.39,4.67,144.57
39,44,0,16,8,2,6,5,31.76,33.1,2.05,54.66
39,28,0,16,8,2,7,4,28.71,30.04,2.25,53.89
39,75,0,16,8,2,8,3,33.94,30.58,1.89,180.64
39,77,0,16,9,1,8,3,33.17,25.77,1.56,238.87
40,98,1,20,5,5,8,3,31.8,23.51,1.23,263.66
40,94,1,20,5,5,7,4,34.75,34.77,0.96,144.66
40,26,1,20,5,5,7,4,37.93,33.72,0.64,228.84
40,22,1,20,0,10,1,10,39.89,44.78,2.61,66.05
40,90,1,20,7,3,9,2,33.15,27.01,2.99,225.3
40,95,1,20,7,3,9,2,32.61,26.67,2.48,255.65
40,52,1,20,7,3,9,2,36.02,29.65,1.51,263.72
40,23,1,20,1,9,2,9,41.65,13.57,3.68,178.98
40,99,1,20,7,3,9,2,34.29,30.19,2.19,213.67
40,20,1,20,0,10,0,11,54.62,27.78,3.65,165.56
40,31,1,20,6,4,6,5,40.09,22.26,2.81,159.28
40,15,0,20,0,10,1,10,39.16,45.66,3.0,75.09
40,2,0,20,7,3,7,4,30.46,29.37,1.49,256.27
40,63,0,20,8,2,8,3,31.84,26.93,1.83,251.85
40,67,0,20,8,2,8,3,32.6,28.04,1.75,234.35
40,74,0,20,8,2,7,4,33.54,30.57,1.94,212.15
40,88,0,20,6,4,7,4,38.15,22.62,4.43,141.14
40,11,0,20,1,9,2,9,38.19,14.71,5.78,146.31
40,44,0,20,6,4,6,5,34.04,34.45,1.85,78.65
40,28,0,20,7,3,7,4,31.45,31.83,2.16,71.68
40,75,0,20,8,2,8,3,33.73,27.69,2.8,200.87
40,77,0,20,7,3,6,5,31.4,24.64,1.6,243.72
41,98,1,23,5,5,8,3,32.14,23.46,1.63,127.11
41,94,1,23,4,6,7,4,36.06,33.44,3.0,155.18
41,26,1,23,3,7,7,4,38.13,32.72,2.58,168.89
41,22,1,23,0,10,1,10,41.36,45.29,1.08,140.83
41,90,1,23,4,6,7,4,31.2,24.66,3.1,205.77
41,95,1,23,5,5,8,3,30.48,25.53,2.46,224.14
41,52,1,23,6,4,8,3,34.97,28.58,2.91,191.06
41,23,1,23,1,9,2,9,40.52,9.56,4.34,208.72
41,99,1,23,6,4,8,3,33.21,28.23,2.15,180.69
41,20,1,23,0,10,0,11,54.34,22.36,6.1,192.29
41,31,1,23,2,8,2,9,40.6,18.14,4.95,181.72
41,15,0,23,0,10,1,10,40.81,45.62,0.99,163.14
41,2,0,23,7,3,7,4,29.79,29.04,1.01,238.83
41,63,0,23,7,3,7,4,30.25,26.61,1.48,235.24
41,67,0,23,7,3,7,4,31.45,27.14,1.39,199.03
41,74,0,23,7,3,7,4,32.31,28.93,1.58,200.35
41,88,0,23,1,9,3,8,39.77,17.69,5.82,176.58
41,11,0,23,1,9,2,9,40.18,8.8,5.65,176.9
41,44,0,23,6,4,5,6,35.19,34.03,1.13,133.14
41,28,0,23,7,3,7,4,32.51,31.51,1.4,162.25
41,75,0,23,7,3,7,4,32.01,25.58,2.07,223.78
41,77,0,23,6,4,5,6,30.38,24.3,1.38,217.69
42,98,1,16,6,4,7,4,33.96,21.26,3.59,173.37
42,94,1,16,5,5,7,4,36.9,29.39,4.54,188.87
42,26,1,16,4,6,6,5,38.8,28.79,4.46,182.7
42,22,1,16,0,10,1,10,40.89,43.68,2.38,209.68
42,90,1,16,4,6,7,4,30.49,21.4,4.13,194.76
42,95,1,16,5,5,7,4,29.23,23.16,3.28,207.27
42,52,1,16,6,4,8,3,35.0,24.05,5.39,194.65
42,23,1,16,1,9,2,9,37.5,6.16,5.2,238.59
42,99,1,16,6,4,8,3,34.31,25.97,2.89,163.19
42,20,1,16,0,10,0,11,51.96,16.16,6.66,215.12
42,31,1,16,1,9,2,9,39.61,12.64,5.65,213.52
42,15,0,16,0,10,1,10,39.65,44.62,2.34,226.49
42,2,0,16,7,3,6,5,28.63,28.16,2.8,226.83
42,63,0,16,7,3,7,4,29.48,25.2,2.53,210.44
42,67,0,16,7,3,7,4,31.76,25.42,2.52,176.36
42,74,0,16,7,3,7,4,32.43,27.66,1.41,160.22
42,88,0,16,1,9,2,9,38.66,11.34,6.65,209.72
42,11,0,16,1,9,2,9,38.96,3.9,4.73,221.69
42,44,0,16,6,4,4,7,35.64,32.96,2.1,188.18
42,28,0,16,7,3,7,4,31.95,29.45,2.95,207.96
42,75,0,16,7,3,7,4,31.03,24.59,1.54,209.46
42,77,0,16,6,4,5,6,29.74,22.31,3.32,205.05
43,98,1,16,7,3,5,6,32.49,16.69,5.64,212.53
43,94,1,16,6,4,8,3,34.45,24.8,5.54,225.48
43,26,1,16,4,6,5,6,37.49,23.98,5.24,209.78
43,22,1,16,0,10,1,10,38.86,41.23,4.13,225.89
43,90,1,16,6,4,6,5,28.84,16.74,5.66,213.95
43,95,1,16,5,5,7,4,27.34,19.72,4.48,214.77
43,52,1,16,7,3,7,4,31.98,18.39,7.15,218.54
43,23,1,16,1,9,2,9,31.61,4.36,7.12,264.13
43,99,1,16,6,4,8,3,34.55,22.79,2.86,208.87
43,20,1,16,0,10,0,11,46.69,11.7,7.02,243.27
43,31,1,16,4,6,2,9,34.36,9.12,7.17,249.36
43,15,0,16,0,10,1,10,37.34,42.36,4.23,230.46
43,2,0,16,7,3,5,6,25.7,25.21,4.98,228.35
43,63,0,16,6,4,6,5,27.51,22.33,4.02,225.48
43,67,0,16,7,3,7,4,31.56,22.12,3.97,197.36
43,74,0,16,7,3,6,5,33.16,26.27,1.57,180.74
43,88,0,16,1,9,2,9,33.19,6.55,7.76,244.97
43,11,0,16,1,9,2,9,34.03,1.98,6.45,261.86
43,44,0,16,5,5,3,8,34.24,29.92,4.43,215.44
43,28,0,16,7,3,6,5,29.7,26.4,3.99,219.9
43,75,0,16,7,3,7,4,30.33,22.78,2.88,214.05
43,77,0,16,6,4,6,5,27.39,18.42,5.46,221.16
44,98,1,7,7,3,6,5,27.94,12.03,6.76,231.58
44,94,1,7,5,5,7,4,29.19,21.83,6.04,246.72
44,26,1,7,3,7,6,5,33.66,19.89,5.53,232.16
44,22,1,7,0,10,1,10,34.97,37.99,5.48,231.59
44,90,1,7,5,5,6,5,24.14,12.23,6.77,233.33
44,95,1,7,6,4,6,5,24.14,15.91,4.94,226.38
44,52,1,7,6,4,6,5,26.18,13.03,7.93,232.57
44,23,1,7,4,6,3,8,23.5,4.79,8.45,275.4
44,99,1,7,3,7,6,5,31.84,21.36,2.51,263.58
44,20,1,7,0,10,0,11,39.64,9.88,7.25,260.67
44,31,1,7,5,5,3,8,26.41,7.65,8.33,262.46
44,15,0,7,0,10,1,10,33.17,39.33,5.34,234.67
44,2,0,7,5,5,4,7,21.23,21.65,5.88,232.2
44,63,0,7,7,3,7,4,23.84,19.72,4.26,237.22
44,67,0,7,7,3,7,4,29.32,18.01,4.69,213.23
44,74,0,7,5,5,3,8,32.28,24.65,1.96,221.74
44,88,0,7,2,8,5,6,24.9,4.95,8.15,265.74
44,11,0,7,1,9,3,8,26.4,2.2,8.06,275.08
44,44,0,7,5,5,3,8,30.57,25.94,5.13,222.7
44,28,0,7,6,4,4,7,26.91,23.43,3.74,225.55
44,75,0,7,7,3,7,4,27.73,19.99,3.99,231.21
44,77,0,7,5,5,6,5,22.53,14.28,7.02,235.23
45,98,1,33,5,5,6,5,22.03,8.38,6.47,245.52
45,94,1,33,3,7,7,4,23.46,19.98,5.63,256.69
45,26,1,33,4,6,6,5,28.9,17.22,5.16,244.16
45,22,1,33,0,10,1,10,30.36,34.45,5.82,230.99
45,90,1,33,5,5,5,6,18.14,8.73,6.48,244.22
45,95,1,33,7,3,8,3,20.24,12.99,4.52,243.01
45,52,1,33,5,5,6,5,19.51,8.82,7.29,241.92
45,23,1,33,5,5,3,8,14.93,5.87,7.23,279.12
45,99,1,33,2,8,5,6,29.89,22.01,1.52,279.2
45,20,1,33,1,9,1,10,32.49,9.28,6.64,266.1
45,31,1,33,5,5,3,8,17.96,6.9,7.58,265.91
45,15,0,33,0,10,1,10,28.73,36.22,4.9,232.78
45,2,0,33,4,6,4,7,16.51,18.01,5.35,226.93
45,63,0,33,6,4,6,5,20.44,17.69,3.42,238.3
45,67,0,33,5,5,7,4,26.55,14.34,4.13,219.17
45,74,0,33,4,6,3,8,30.69,23.44,1.48,246.35
45,88,0,33,2,8,6,5,17.36,5.15,4.52,270.06
45,11,0,33,2,8,6,5,18.1,3.31,7.68,276.79
45,44,0,33,5,5,3,8,27.41,22.41,4.17,218.9
45,28,0,33,6,4,4,7,24.41,21.16,2.94,226.76
45,75,0,33,6,4,5,6,24.18,17.83,4.14,239.92
45,77,0,33,4,6,6,5,15.92,10.46,7.6,242.56
100,76,1,0,9,1,10,1,13.96,21.88,0.29,281.25
100,77,1,0,9,1,10,1,13.96,20.4,0.18,283.34
100,65,1,0,10,0,11,0,13.35,23.58,0.14,314.54
100,86,1,0,10,0,8,3,18.0,23.46,0.3,315.5
100,11,1,0,5,5,6,5,13.79,32.34,0.23,194.89
100,17,1,0,9,1,8,3,14.79,17.92,0.2,292.12
100,68,1,0,10,0,11,0,13.84,25.14,0.01,167.29
100,79,1,0,10,0,9,2,14.27,26.77,0.03,115.81
100,30,1,0,9,1,4,7,20.62,23.27,0.25,146.49
100,16,1,0,10,0,11,0,14.26,23.5,0.15,66.35
100,89,1,0,9,1,8,3,13.43,18.49,0.38,184.28
100,90,0,0,10,0,11,0,12.21,22.88,0.01,201.94
100,53,0,0,9,1,9,2,9.02,21.28,0.35,63.43
100,95,0,0,9,1,10,1,12.01,20.15,0.17,175.46
100,54,0,0,10,0,10,1,9.14,24.14,0.42,74.54
100,36,0,0,7,3,7,4,8.93,16.9,0.32,82.1
100,25,0,0,8,2,7,4,5.65,20.86,0.78,24.83
100,29,0,0,8,2,8,3,10.07,28.15,0.22,72.23
100,91,0,0,7,3,9,2,12.28,28.49,0.19,69.63
100,57,0,0,7,3,9,2,12.12,17.16,0.32,44.74
100,99,0,0,10,0,11,0,12.26,25.53,0.14,194.89
100,33,0,0,5,5,5,6,11.26,32.54,0.07,215.06
101,76,1,16,10,0,10,1,13.62,22.49,1.35,318.75
101,77,1,16,9,1,10,1,13.8,20.74,0.69,340.92
101,65,1,16,10,0,11,0,13.2,23.74,0.95,295.48
101,86,1,16,10,0,8,3,17.4,23.92,2.2,299.64
101,11,1,16,6,4,6,5,13.69,31.78,1.81,191.9
101,17,1,16,9,1,8,3,14.43,17.88,1.04,269.59
101,68,1,16,10,0,11,0,13.84,25.16,0.36,348.66
101,79,1,16,10,0,10,1,14.26,26.86,0.74,355.03
101,30,1,16,9,1,4,7,20.4,23.71,1.7,305.1
101,16,1,16,10,0,11,0,14.68,23.63,1.89,76.27
101,89,1,16,9,1,8,3,13.51,18.48,0.45,177.37
101,90,0,16,10,0,11,0,12.2,22.9,0.84,308.43
101,53,0,16,9,1,9,2,9.41,21.79,1.33,38.63
101,95,0,16,9,1,10,1,12.11,20.33,0.69,27.46
101,54,0,16,10,0,10,1,9.74,24.39,1.4,58.58
101,36,0,16,7,3,7,4,9.43,17.08,1.15,47.07
101,25,0,16,9,1,8,3,6.23,21.84,1.66,41.46
101,29,0,16,8,2,8,3,10.38,28.16,1.35,95.01
101,91,0,16,8,2,9,2,12.55,28.67,0.8,68.98
101,57,0,16,7,3,9,2,12.52,17.44,0.9,29.72
101,99,0,16,10,0,11,0,12.35,25.77,0.7,35.3
101,33,0,16,5,5,5,6,11.36,32.42,0.98,136.66
102,76,1,10,10,0,11,0,12.2,23.73,1.32,301.95
102,77,1,10,10,0,11,0,13.56,21.69,1.1,342.47
102,65,1,10,10,0,11,0,11.56,24.26,1.82,273.55
102,86,1,10,10,0,11,0,14.24,25.49,2.71,285.74
102,11,1,10,9,1,9,2,13.12,28.84,2.56,184.4
102,17,1,10,8,2,9,2,12.73,18.06,2.13,303.92
102,68,1,10,10,0,11,0,13.7,25.88,0.74,315.97
102,79,1,10,9,1,10,1,14.15,28.22,0.98,352.62
102,30,1,10,10,0,11,0,17.61,24.87,4.21,277.27
102,16,1,10,10,0,10,1,17.96,24.3,3.37,84.35
102,89,1,10,10,0,10,1,13.38,19.37,1.04,335.62
102,90,0,10,10,0,11,0,10.81,23.83,1.11,292.63
102,53,0,10,10,0,11,0,10.66,23.23,1.18,48.19
102,95,0,10,10,0,11,0,12.55,21.39,1.15,116.82
102,54,0,10,10,0,11,0,11.49,25.52,1.05,71.33
102,36,0,10,8,2,9,2,10.41,18.66,2.62,13.26
102,25,0,10,10,0,10,1,7.87,23.34,2.23,47.27
102,29,0,10,10,0,11,0,12.79,27.78,2.41,115.77
102,91,0,10,8,2,10,1,13.71,29.07,0.96,75.95
102,57,0,10,8,2,10,1,12.88,18.75,1.45,243.04
102,99,0,10,10,0,11,0,13.02,26.6,0.55,148.93
102,33,0,10,8,2,9,2,12.69,31.21,1.6,137.18
103,76,1,35,10,0,11,0,11.5,23.94,0.54,279.69
103,77,1,35,10,0,11,0,13.08,22.82,1.24,326.68
103,65,1,35,9,1,11,0,9.77,23.9,1.4,239.34
103,86,1,35,10,0,11,0,12.45,25.38,1.5,242.97
103,11,1,35,10,0,11,0,13.27,26.86,1.41,186.18
103,17,1,35,9,1,10,1,11.1,20.31,2.66,320.59
103,68,1,35,10,0,11,0,12.76,25.97,1.56,251.36
103,79,1,35,10,0,11,0,14.03,28.77,0.49,59.6
103,30,1,35,10,0,11,0,12.29,24.62,4.08,262.72
103,16,1,35,8,2,6,5,21.11,24.28,1.72,90.62
103,89,1,35,10,0,11,0,12.62,20.27,1.57,307.75
103,90,0,35,10,0,10,1,10.33,23.7,0.48,214.35
103,53,0,35,10,0,10,1,11.07,23.38,0.34,177.12
103,95,0,35,10,0,11,0,12.44,22.51,1.05,336.35
103,54,0,35,10,0,11,0,11.42,25.22,1.0,223.14
103,36,0,35,10,0,10,1,10.43,22.03,2.7,346.47
103,25,0,35,10,0,10,1,9.38,24.74,0.98,75.7
103,29,0,35,10,0,11,0,14.33,26.13,1.65,181.61
103,91,0,35,10,0,11,0,14.41,29.03,1.43,137.24
103,57,0,35,9,1,10,1,11.97,20.13,2.01,307.93
103,99,0,35,10,0,11,0,11.96,26.2,1.82,239.78
103,33,0,35,9,1,10,1,13.28,30.15,1.52,208.88
104,77,1,16,9,1,11,0,11.04,23.93,0.8,255.88
104,65,1,16,10,0,11,0,12.25,23.68,0.94,289.21
104,86,1,16,9,1,11,0,9.15,23.05,0.81,199.92
104,11,1,16,10,0,11,0,11.49,24.38,1.09,238.71
104,17,1,16,10,0,11,0,12.86,25.98,0.63,177.3
104,68,1,16,9,1,11,0,9.31,21.96,2.03,294.7
104,79,1,16,9,1,11,0,10.92,24.85,1.82,237.14
104,30,1,16,10,0,11,0,14.47,29.06,0.51,153.65
104,16,1,16,9,1,11,0,9.84,23.99,1.09,201.1
104,89,1,16,4,6,3,8,21.35,24.3,0.7,235.9
104,90,0,16,10,0,10,1,10.93,21.32,1.6,310.62
104,53,0,16,10,0,10,1,10.2,23.19,0.56,171.15
104,95,0,16,10,0,10,1,10.74,23.69,0.52,245.69
104,54,0,16,10,0,11,0,11.72,23.29,0.98,299.96
104,36,0,16,10,0,10,1,10.22,24.33,1.02,218.08
