time,jerseyNumber,team,behaviour,closeTeams,distantTeams,closeOps,distantOps,coordinate,velocity,playId
0,50,0,12,{},"{97, 38, 47, 17, 82, 88, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(35.12, 27.12)","(0.62, 337.57)",36
0,57,0,12,{},"{97, 38, 47, 17, 82, 50, 88, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(60.62, 13.22)","(1.56, 267.83)",36
0,31,0,12,{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(14.28, 21.67)","(1.38, 9.24)",36
0,47,0,12,{},"{97, 38, 17, 82, 50, 88, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(60.73, 32.01)","(0.7, 207.21)",36
0,38,0,12,{},"{97, 47, 17, 82, 50, 88, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(60.67, 5.37)","(1.44, 276.95)",36
0,17,0,12,{},"{97, 38, 47, 82, 50, 88, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(5.89, 30.62)","(3.07, 17.75)",36
0,26,0,12,{},"{97, 38, 47, 17, 82, 50, 88, 57, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(60.42, 19.68)","(0.8, 281.81)",36
1,26,1,16,"{50, 38}","{32, 4, 36, 43, 54, 22, 24, 58}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(72.34, 44.46)","(6.61, 269.35)",36
1,22,1,16,{},"{32, 4, 58, 38, 36, 43, 50, 54, 24, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(72.16, 5.78)","(6.58, 275.55)",36
1,4,1,16,"{32, 36}","{58, 38, 43, 50, 54, 22, 24, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(73.28, 26.5)","(3.51, 298.67)",36
1,38,1,16,{26},"{32, 4, 36, 43, 50, 54, 22, 24, 58}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(70.46, 46.62)","(7.92, 261.72)",36
1,54,1,16,{24},"{32, 4, 58, 38, 36, 43, 50, 22, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(71.08, 11.89)","(7.3, 277.41)",36
1,32,1,16,"{58, 4}","{36, 38, 43, 50, 54, 22, 24, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(70.67, 30.09)","(7.57, 269.6)",36
1,24,1,16,"{43, 54}","{32, 4, 58, 38, 36, 50, 22, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(72.37, 14.87)","(7.39, 279.19)",36
1,58,1,16,{32},"{4, 36, 38, 43, 50, 54, 22, 24, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(71.1, 34.47)","(7.47, 266.84)",36
1,43,1,16,"{24, 36}","{32, 4, 58, 38, 50, 54, 22, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(70.53, 18.2)","(7.54, 273.92)",36
1,50,1,16,{26},"{32, 4, 36, 38, 43, 54, 22, 24, 58}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(71.64, 40.21)","(7.26, 268.64)",36
1,36,1,16,"{43, 4}","{32, 58, 38, 50, 54, 22, 24, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(70.44, 22.97)","(7.59, 276.81)",36
1,97,0,16,{},"{38, 47, 17, 82, 50, 88, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(58.23, 39.34)","(4.4, 261.62)",36
1,82,0,16,{},"{97, 38, 47, 17, 50, 88, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(26.74, 19.04)","(4.54, 332.32)",36
1,30,0,16,{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(57.28, 46.04)","(4.78, 256.1)",36
1,88,0,16,{},"{97, 38, 47, 17, 82, 50, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(27.47, 37.56)","(1.84, 286.85)",36
1,50,0,16,{},"{97, 38, 47, 17, 82, 88, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(34.42, 28.04)","(1.91, 312.86)",36
1,57,0,16,{},"{97, 38, 47, 17, 82, 50, 88, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(57.32, 13.19)","(4.82, 273.65)",36
1,31,0,16,{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(14.7, 24.25)","(3.92, 11.15)",36
1,47,0,16,{},"{97, 38, 17, 82, 50, 88, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(59.05, 31.94)","(3.97, 266.42)",36
1,38,0,16,{},"{97, 47, 17, 82, 50, 88, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(57.64, 5.81)","(4.61, 283.51)",36
1,17,0,16,{},"{97, 38, 47, 82, 50, 88, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(7.13, 34.14)","(3.92, 17.6)",36
1,26,0,16,{},"{97, 38, 47, 17, 82, 50, 88, 57, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(58.67, 20.01)","(3.59, 278.43)",36
2,26,1,16,"{50, 38}","{32, 4, 36, 43, 54, 22, 24, 58}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(64.62, 44.41)","(8.18, 269.65)",36
2,22,1,16,{},"{32, 4, 58, 38, 36, 43, 50, 54, 24, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(64.88, 6.58)","(7.58, 280.03)",36
2,4,1,16,{},"{32, 58, 36, 38, 43, 50, 54, 22, 24, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(70.11, 28.29)","(3.99, 299.75)",36
2,38,1,16,{26},"{32, 4, 36, 43, 50, 54, 22, 24, 58}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(61.52, 45.6)","(9.52, 264.46)",36
2,54,1,16,{24},"{32, 4, 58, 38, 36, 43, 50, 22, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(63.06, 12.99)","(8.48, 279.55)",36
2,32,1,16,{58},"{4, 36, 38, 43, 50, 54, 22, 24, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(62.02, 30.38)","(9.21, 273.11)",36
2,24,1,16,"{43, 54}","{32, 4, 58, 38, 36, 50, 22, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(63.96, 16.2)","(8.94, 279.28)",36
2,58,1,16,{32},"{4, 36, 38, 43, 50, 54, 22, 24, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(62.6, 34.18)","(9.03, 268.76)",36
2,43,1,16,{24},"{32, 4, 58, 38, 36, 50, 54, 22, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(62.26, 18.85)","(8.61, 276.4)",36
2,50,1,16,{26},"{32, 4, 36, 38, 43, 54, 22, 24, 58}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(63.46, 40.21)","(8.62, 270.48)",36
2,36,1,16,{},"{32, 4, 58, 38, 43, 50, 54, 22, 24, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(61.85, 23.86)","(9.12, 277.56)",36
2,97,0,16,{},"{38, 47, 17, 82, 50, 88, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(52.07, 38.74)","(6.86, 268.49)",36
2,82,0,16,{},"{97, 38, 47, 17, 50, 88, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(24.31, 24.15)","(6.26, 334.32)",36
2,30,0,16,{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(50.97, 44.35)","(7.18, 256.49)",36
2,88,0,16,{},"{97, 38, 47, 17, 82, 50, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(24.63, 38.37)","(2.82, 286.43)",36
2,50,0,16,{},"{97, 38, 47, 17, 82, 88, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(32.3, 29.6)","(2.6, 295.99)",36
2,57,0,16,{},"{97, 38, 47, 17, 82, 50, 88, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(51.21, 13.94)","(6.39, 282.59)",36
2,31,0,16,{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(15.74, 29.32)","(5.51, 110.57)",36
2,47,0,16,{},"{97, 38, 17, 82, 50, 88, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(52.9, 31.49)","(6.92, 266.76)",36
2,38,0,16,{},"{97, 47, 17, 82, 50, 88, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(51.89, 7.6)","(6.66, 290.57)",36
2,17,0,16,{},"{97, 38, 47, 82, 50, 88, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(8.14, 38.06)","(3.69, 180.14)",36
2,26,0,16,{},"{97, 38, 47, 17, 82, 50, 88, 57, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(53.39, 20.7)","(6.17, 278.07)",36
3,26,1,16,"{50, 38}","{32, 4, 36, 43, 54, 22, 24, 58}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(56.04, 44.37)","(8.61, 270.78)",36
3,22,1,16,{},"{32, 4, 58, 38, 36, 43, 50, 54, 24, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(57.3, 8.46)","(7.86, 288.67)",36
3,4,1,16,{},"{32, 58, 36, 38, 43, 50, 54, 22, 24, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(66.38, 30.42)","(4.35, 297.86)",36
3,38,1,16,{26},"{32, 4, 36, 43, 50, 54, 22, 24, 58}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(51.58, 44.79)","(10.09, 267.44)",36
3,54,1,16,{24},"{32, 4, 58, 38, 36, 43, 50, 22, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(54.42, 14.69)","(8.73, 281.15)",36
3,32,1,16,{58},"{4, 36, 38, 43, 50, 54, 22, 24, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(52.35, 31.07)","(9.81, 272.31)",36
3,24,1,16,"{43, 54}","{32, 4, 58, 38, 36, 50, 22, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(54.81, 17.78)","(9.3, 281.42)",36
3,58,1,16,{32},"{4, 36, 38, 43, 50, 54, 22, 24, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(53.11, 34.11)","(9.6, 272.16)",36
3,43,1,16,{24},"{32, 4, 58, 38, 36, 50, 54, 22, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(53.48, 20.15)","(8.85, 281.68)",36
3,50,1,16,{26},"{32, 4, 36, 38, 43, 54, 22, 24, 58}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(54.46, 40.34)","(9.08, 270.17)",36
3,36,1,16,{},"{32, 4, 58, 38, 43, 50, 54, 22, 24, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(52.45, 25.38)","(9.6, 280.32)",36
3,97,0,16,{30},"{38, 47, 17, 82, 50, 88, 57, 26, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(44.61, 38.97)","(7.23, 270.54)",36
3,82,0,16,{},"{97, 38, 47, 17, 50, 88, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(21.35, 30.22)","(6.38, 335.97)",36
3,30,0,16,{97},"{38, 47, 17, 82, 50, 88, 57, 26, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(43.46, 42.73)","(7.4, 259.04)",36
3,88,0,16,{},"{97, 38, 47, 17, 82, 50, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(22.17, 39.1)","(2.11, 284.41)",36
3,50,0,16,{},"{97, 38, 47, 17, 82, 88, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(29.87, 30.25)","(2.09, 290.0)",36
3,57,0,16,{},"{97, 38, 47, 17, 82, 50, 88, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(45.0, 15.98)","(6.05, 293.22)",36
3,31,0,16,{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(15.01, 35.09)","(5.78, 348.12)",36
3,47,0,16,{},"{97, 38, 17, 82, 50, 88, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(45.42, 31.27)","(7.13, 275.52)",36
3,38,0,16,{},"{97, 47, 17, 82, 50, 88, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(45.29, 10.5)","(6.88, 298.81)",36
3,17,0,16,{},"{97, 38, 47, 82, 50, 88, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(7.2, 41.44)","(3.66, 316.88)",36
3,26,0,16,{},"{97, 38, 47, 17, 82, 50, 88, 57, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(46.56, 21.78)","(6.77, 282.32)",36
4,26,1,13,{50},"{32, 4, 36, 38, 43, 54, 22, 24, 58}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(47.44, 44.69)","(8.46, 276.15)",36
4,22,1,13,{},"{32, 4, 58, 38, 36, 43, 50, 54, 24, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(50.05, 11.59)","(7.7, 296.82)",36
4,4,1,13,{},"{32, 58, 36, 38, 43, 50, 54, 22, 24, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(62.43, 32.35)","(4.46, 296.78)",36
4,38,1,13,{},"{32, 4, 58, 36, 43, 50, 54, 22, 24, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(41.39, 44.77)","(10.18, 274.78)",36
4,54,1,13,{24},"{32, 4, 58, 38, 36, 43, 50, 22, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(46.0, 16.37)","(8.03, 287.5)",36
4,32,1,13,"{58, 36}","{4, 38, 43, 50, 54, 22, 24, 26}",{47},"{97, 38, 17, 82, 50, 88, 57, 26, 30, 31}","(42.48, 31.1)","(9.52, 270.13)",36
4,24,1,13,"{43, 54}","{32, 4, 58, 38, 36, 50, 22, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(45.76, 19.86)","(8.99, 280.99)",36
4,58,1,13,{32},"{4, 36, 38, 43, 50, 54, 22, 24, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(43.48, 34.95)","(9.26, 277.71)",36
4,43,1,13,{24},"{32, 4, 58, 38, 36, 50, 54, 22, 26}",{26},"{97, 38, 47, 17, 82, 50, 88, 57, 30, 31}","(45.0, 22.48)","(8.44, 290.32)",36
4,50,1,13,{26},"{32, 4, 36, 38, 43, 54, 22, 24, 58}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(45.33, 40.26)","(8.95, 270.67)",36
4,36,1,13,{32},"{4, 58, 38, 43, 50, 54, 22, 24, 26}",{26},"{97, 38, 47, 17, 82, 50, 88, 57, 30, 31}","(42.98, 27.26)","(9.47, 281.48)",36
4,97,0,13,{30},"{38, 47, 17, 82, 50, 88, 57, 26, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(37.72, 38.8)","(6.08, 266.79)",36
4,82,0,13,{88},"{97, 38, 47, 17, 50, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(19.22, 35.68)","(4.49, 346.53)",36
4,30,0,13,{97},"{38, 47, 17, 82, 50, 88, 57, 26, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(36.47, 41.6)","(6.99, 270.35)",36
4,88,0,13,{82},"{97, 38, 47, 17, 50, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(20.57, 39.47)","(1.19, 303.14)",36
4,50,0,13,{},"{97, 38, 47, 17, 82, 88, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(28.42, 31.14)","(1.72, 317.88)",36
4,57,0,13,"{26, 38}","{97, 47, 17, 82, 50, 88, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(40.11, 18.65)","(5.28, 301.39)",36
4,31,0,13,{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(13.6, 40.65)","(5.36, 353.2)",36
4,47,0,13,{},"{97, 38, 17, 82, 50, 88, 57, 26, 30, 31}",{32},"{4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(38.84, 32.87)","(6.39, 288.08)",36
4,38,0,13,{57},"{97, 47, 17, 82, 50, 88, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(39.96, 14.11)","(5.15, 305.54)",36
4,17,0,13,{},"{97, 38, 47, 82, 50, 88, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(7.44, 45.36)","(3.73, 13.09)",36
4,26,0,13,{57},"{97, 38, 47, 17, 82, 50, 88, 30, 31}","{43, 36}","{32, 4, 58, 38, 50, 54, 22, 24, 26}","(40.31, 23.62)","(5.78, 295.28)",36
5,26,1,11,{},"{32, 4, 36, 38, 43, 50, 54, 22, 24, 58}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(39.26, 46.18)","(7.89, 282.53)",36
5,22,1,11,{},"{32, 4, 58, 38, 36, 43, 50, 54, 24, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(43.58, 15.35)","(7.05, 304.42)",36
5,4,1,11,{},"{32, 58, 36, 38, 43, 50, 54, 22, 24, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(58.43, 34.47)","(4.66, 299.79)",36
5,38,1,11,{},"{32, 4, 58, 36, 43, 50, 54, 22, 24, 26}",{30},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 31}","(31.34, 46.49)","(10.09, 281.66)",36
5,54,1,11,{24},"{32, 4, 58, 38, 36, 43, 50, 22, 26}","{57, 38}","{97, 47, 17, 82, 50, 88, 26, 30, 31}","(39.22, 19.6)","(7.35, 308.1)",36
5,32,1,11,{36},"{4, 58, 38, 43, 50, 54, 22, 24, 26}",{47},"{97, 38, 17, 82, 50, 88, 57, 26, 30, 31}","(33.4, 31.3)","(8.25, 281.69)",36
5,24,1,11,"{43, 54}","{32, 4, 58, 38, 36, 50, 22, 26}","{57, 38}","{97, 47, 17, 82, 50, 88, 26, 30, 31}","(37.18, 21.12)","(8.24, 278.73)",36
5,58,1,11,{50},"{32, 4, 36, 38, 43, 54, 22, 24, 26}","{97, 47}","{38, 17, 82, 50, 88, 57, 26, 30, 31}","(34.82, 36.48)","(8.12, 277.38)",36
5,43,1,11,{24},"{32, 4, 58, 38, 36, 50, 54, 22, 26}","{57, 26}","{97, 38, 47, 17, 82, 50, 88, 30, 31}","(37.7, 25.85)","(7.2, 290.05)",36
5,50,1,11,{58},"{32, 4, 36, 38, 43, 54, 22, 24, 26}",{97},"{38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(36.58, 40.64)","(8.51, 277.8)",36
5,36,1,11,{32},"{4, 58, 38, 43, 50, 54, 22, 24, 26}",{26},"{97, 38, 47, 17, 82, 50, 88, 57, 30, 31}","(33.95, 29.16)","(8.56, 283.12)",36
5,97,0,11,{47},"{38, 17, 82, 50, 88, 57, 26, 30, 31}","{58, 50}","{32, 4, 36, 38, 43, 54, 22, 24, 26}","(32.48, 38.4)","(4.15, 271.15)",36
5,82,0,11,{88},"{97, 38, 47, 17, 50, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(19.13, 38.85)","(2.35, 109.99)",36
5,30,0,11,{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 31}",{38},"{32, 4, 58, 36, 43, 50, 54, 22, 24, 26}","(29.53, 42.88)","(7.07, 286.37)",36
5,88,0,11,{82},"{97, 38, 47, 17, 50, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(20.15, 40.28)","(0.74, 340.99)",36
5,50,0,11,{},"{97, 38, 47, 17, 82, 88, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(27.49, 32.65)","(1.97, 301.44)",36
5,57,0,11,{},"{97, 38, 47, 17, 82, 50, 88, 26, 30, 31}","{24, 43, 54}","{32, 4, 58, 38, 36, 50, 22, 26}","(35.92, 21.36)","(4.91, 294.48)",36
5,31,0,11,{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(13.63, 45.64)","(4.23, 352.24)",36
5,47,0,11,{97},"{38, 17, 82, 50, 88, 57, 26, 30, 31}","{32, 58}","{4, 36, 38, 43, 50, 54, 22, 24, 26}","(33.22, 35.08)","(5.65, 288.47)",36
5,38,0,11,{},"{97, 47, 17, 82, 50, 88, 57, 26, 30, 31}","{24, 54}","{32, 4, 58, 38, 36, 43, 50, 22, 26}","(36.9, 16.39)","(2.82, 313.43)",36
5,17,0,11,{},"{97, 38, 47, 82, 50, 88, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(8.71, 48.57)","(2.79, 15.78)",36
5,26,0,11,{},"{97, 38, 47, 17, 82, 50, 88, 57, 30, 31}","{43, 36}","{32, 4, 58, 38, 50, 54, 22, 24, 26}","(36.1, 26.58)","(4.96, 299.52)",36
6,26,1,34,{},"{32, 4, 36, 38, 43, 50, 54, 22, 24, 58}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(32.08, 48.03)","(6.69, 284.14)",36
6,22,1,34,{},"{32, 4, 58, 38, 36, 43, 50, 54, 24, 26}",{38},"{97, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(38.45, 19.54)","(6.07, 313.61)",36
6,4,1,34,{},"{32, 58, 36, 38, 43, 50, 54, 22, 24, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(54.34, 36.97)","(4.7, 302.07)",36
6,38,1,34,{},"{32, 4, 58, 36, 43, 50, 54, 22, 24, 26}",{30},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 31}","(21.64, 48.71)","(9.56, 279.48)",36
